"Código de Acesso","F0101","F0102","F0103","F0104","F0201","Cor0202","F0203","Cor0204","F0205","Cor0206","F0207","Cor0208","Cor0209Outro","L0210 (não likert)","F0299 - Explicação Tempo","Q0401","Q0402","Q0403","T0404","Q0405","Q0406","Q0407","T0408","Q0409","Q0410","Q0411","T0412","Q0413","Q0414","Q0415","T0498","T0499 - Explicação Tempo","P01","T01","P02","T02","P03","T03","P05","T05","P09","T09","P12","T12","P15","T15","PTempoTotal","PTempoTotalExpl","QtdComida","QtdPessoas","QtdSom","GameTempoTotal","QtdDormir","QtdHorasDormi","QtdHorasSono","Acordar","F0705","F0706","F0707","F0708","F0709","F0710","F0711","F0712","F0713","F1101","F1102","F1103","F1104","F1105","Tempo1106","F1107","Tempo1108","F1109","Tempo1110","F1111","Tempo1112","TempoTotal11","T1199Expl","Q1201","Q1202","Q1203","T1204","T1205Expl","Q1206","Q1207","Q1208","Q1209","T1210Expl","P04","P08","P10","P12","P02","P03","P07","P09","P13","T04","T08","T10","T12","T02","T03","T07","T09","T13","TempoTotal","TempoTotalExpl","Data/Hora Último","Target1","Target2","Target3"
"ZK2HP2Q1FWUT","4","1","0.58823529411765","6","8","FFFFFF","13","FFFFFF","2","FFFFFF","FFFFFF","FFFFFF","FFFFFF","2","N/A","17","1","2","49.463","13","2","1","43.165","9","1","8","28.9","39","4","11","121.528","N/A","2","12.35","3","19.032","4","7.0","1","8.516","2","6.983","4","10.299","2","12.783","76.963","N/A","2","1","3","29.015","2","3","3","1","1","1","1","5","1","5","1","1","3","0","3.5","3","7.8","1","1.5","1","11.4","2","7.3","2","4.6","36.100","N/A","1","0","24","69.547","N/A","12","0","24","200.79","N/A","5","1","1","1","1","1","1","1","1","4.215","3.868","8.566","9.083","5.483","5.383","11.616","11.567","5.217","92.512","N/A","12/09/2025 11:21:18","61.538","71.429","91.429"
"XU4DM426AR0G","4","0","0.47058823529412","3","2","FFFFFF","2","FFFFFF","2","FFFFFF","FFFFFF","FFFFFF","FFFFFF","5","N/A","3","0","16","12.033","3","0","11","8.0","1","2","16","6.649","7","2","43","26.682","N/A","4","20.916","4","13.45","4","1.932","3","53.281","4","14.799","4","11.017","1","24.516","139.911","N/A","2","1","1","25.699","2","3","1","5","5","5","5","5","5","5","5","5","1","4","3.682","4","5.0","4","3.114","3","5.394","4","1.632","3","1.499","20.321","N/A","1","0","24","49.115","N/A","4","0","24","118.511","N/A","5","5","1","5","5","5","5","5","5","2.867","10.666","13.5","5.217","6.25","7.399","9.549","4.416","8.833","97.061","N/A","12/09/2025 11:14:01","23.077","19.048","60.000"
"CK67CCD9KKZJ","3","0","0.35294117647059","0","0","FFFFFF","0","FFFFFF","0","FFFFFF","FFFFFF","FFFFFF","FFFFFF","0","N/A","3","0","16","16.399","0","0","14","2.533","0","0","17","3.199","3","0","47","22.131","N/A","2","2.583","3","2.617","4","8.3","1","9.149","4","9.2","3","13.366","4","6.083","51.298","N/A","2","1","1","32.75","1","3","2","5","5","5","5","5","5","5","5","5","1","4","5.4","4","1.8","4","2.3","3","1.0","4","3.0","4","4.5","18.000","N/A","1","0","24","64.364","N/A","3","0","24","124.244","N/A","5","5","5","1","5","5","5","5","5","4.501","7.066","5.299","7.6","4.616","9.15","5.633","5.55","5.999","86.896","N/A","12/09/2025 10:53:15","11.538","4.762","57.143"
"LN0OHX118GS8","1","0","0.47058823529412","2","3","FFC6A1","8","5B5B5B","2","FFFFFF","4C4C4C","242424","212121","0","N/A","6","15","13","25.483","5","14","9","20.899","5","11","12","25.632","16","40","34","72.014","N/A","3","7.984","1","8.849","2","6.817","4","23.915","1","16.583","4","11.134","4","5.065","80.347","N/A","2","1","2","22.044","1","1","2","3","4","4","4","3","5","4","1","2","3","1","3.6","1","2.4","1","17.4","3","5.0","2","6.3","3","6.9","41.600","N/A","1","0","24","70.964","N/A","2","0","24","119.628","N/A","5","5","1","1","5","5","1","5","1","5.832","8.015","6.449","9.716","8.216","8.933","24.683","6.366","9.7","112.462","N/A","12/09/2025 10:40:09","30.769","80.952","68.571"
"SL238SLJOF09","1","0","0.29411764705882","2","3","FFFFFF","8","FFFFFF","2","0044FF","907300","000000","00FFF2","2","N/A","3","0","16","21.716","3","0","11","14.399","3","0","14","17.518","9","0","41","53.633","N/A","4","3.649","3","14.682","4","15.135","4","15.333","4","4.95","3","6.6","3","27.101","87.450","N/A","2","2","3","23.749","2","3","2","5","5","5","5","5","5","5","5","5","1","4","5.4","4","1.9","4","6.1","4","18.5","4","3.5","4","3.7","39.100","N/A","1","0","24","86.832","N/A","4","0","24","231.745","N/A","5","5","5","5","5","5","5","5","5","5.833","6.668","35.315","4.883","9.432","10.033","7.067","12.783","7.015","130.713","N/A","12/09/2025 10:39:13","0.000","0.000","85.714"
"WJ2MU06OBKPO","3","0","0.41176470588235","2","2","B08A66","5","34141E","2","A00031","1F2449","8B1620","3E3B3B","0","N/A","4","3","15","49.281","2","1","12","15.116","0","0","17","4.233","6","4","44","68.630","N/A","2","8.183","1","31.081","4","30.032","1","24.282","1","10.266","2","21.333","3","30.782","155.959","N/A","2","1","2","28.232","1","3","2","3","3","2","4","4","3","2","4","2","1","1","21.542","4","8.016","2","4.148","0","17.775","2","9.064","3","9.163","69.708","N/A","1","0","24","97.013","N/A","4","0","24","264.004","N/A","5","5","5","1","1","1","5","5","1","5.866","8.266","10.233","7.967","6.717","10.849","14.515","21.732","17.699","131.31","N/A","12/09/2025 10:35:35","34.615","100.000","54.286"
"9IGDF7ZDLII5","1","1","0.47058823529412","1","0","FFFFFF","10","FFFFFF","2","FFFFFF","FFFFFF","FFFFFF","FFFFFF","2","N/A","7","1","12","41.149","0","6","14","55.63","2","0","15","13.749","9","7","41","110.528","N/A","2","4.133","1","10.15","1","36.907","2","17.882","1","21.382","1","6.133","2","6.017","102.604","N/A","1","1","0","17.715","1","2","1","1","1","1","1","1","1","1","1","1","3","0","2.7","1","3.9","1","0.6","1","0.5","1","0.4","1","0.8","8.900","N/A","2","0","24","124.894","N/A","2","0","24","177.508","N/A","1","1","1","1","1","1","1","1","1","4.101","4.816","4.45","4.749","6.065","4.334","3.982","6.483","6.033","69.362","N/A","12/09/2025 10:30:05","92.308","90.476","0.000"
"97TP7GJA3HGF","3","0","0.47058823529412","2","5","FFFFFF","5","FFFFFF","2","FFFFFF","FFFFFF","FFFFFF","FFFFFF","5","N/A","0","4","19","57.048","0","0","14","2.6","0","0","17","1.783","0","4","50","61.431","N/A","3","0.5","1","3.833","2","1.484","4","11.032","3","8.783","4","8.633","1","3.6","37.865","N/A","3","0","2","18.983","2","4","1","5","5","5","5","5","5","1","5","5","1","4","10.113","4","5.982","4","2.228","1","2.632","2","2.449","4","1.249","24.653","N/A","4","0","24","75.613","N/A","21","0","24","142.693","N/A","1","5","1","1","1","1","5","5","5","9.566","2.568","5.901","8.516","2.566","5.649","10.133","7.765","3.133","78.462","N/A","12/09/2025 10:25:36","34.615","76.190","68.571"
"EN3ALMKV2XAH","1","0","0.47058823529412","0","0","FFFFFF","0","FFFFFF","0","FFFFFF","FFFFFF","FFFFFF","FFFFFF","0","N/A","0","0","19","5.817","0","0","14","3.25","0","0","17","2.333","0","0","50","11.400","N/A","4","3.434","2","8.033","4","6.566","1","164.321","4","7.25","2","4.016","3","4.817","198.437","N/A","2","2","3","26.981","2","3","1","5","5","5","5","5","5","5","5","5","1","2","3.0","4","1.6","4","1.9","3","1.6","4","2.6","4","1.6","12.300","N/A","3","0","24","177.47","N/A","9","0","24","297.723","N/A","1","5","5","1","5","5","5","1","5","9.083","2.841","2.232","2.482","1.484","2.948","3.633","6.333","3.283","60.938","N/A","12/09/2025 10:20:06","11.538","23.810","100.000"
"YZ9PZX2D9B6T","1","1","0.47058823529412","2","0","F5D588","10","612119","1","FFFFFF","5B382B","383F76","FF5EBF","2","N/A","19","4","0","62.347","12","0","2","55.147","14","0","3","0.0","45","4","5","117.494","02","4","10.949","1","10.766","1","4.45","1","10.516","1","4.384","4","3.366","1","4.433","48.864","N/A","1","1","2","14.716","2","1","3","3","5","4","5","4","5","5","5","5","5","1","3.094","4","7.161","0","3.495","4","7.943","1","7.861","4","3.494","33.048","N/A","0","0","24","38.701","N/A","0","0","24","55.199","N/A","1","1","5","1","1","1","1","5","5","3.167","4.55","9.566","6.017","3.283","5.333","3.7","5.0","3.267","64.495","N/A","11/09/2025 12:15:50","65.385","80.952","48.571"
"2U313TK7XGFP","1","0","0.41176470588235","3","5","FFE8A1","8","FFFFFF","1","FFFFFF","D17410","2010D1","FFFFFF","5","N/A","3","0","16","15.649","3","0","11","6.9","3","0","14","10.183","9","0","41","32.732","N/A","4","24.783","4","15.133","4","7.116","4","5.868","3","30.298","3","12.315","2","12.2","107.713","N/A","2","1","3","57.281","2","1","2","5","5","4","5","5","5","5","5","5","1","3","8.751","4","2.747","2","3.5","4","12.933","4","7.683","2","17.197","52.811","N/A","0","0","24","120.36","N/A","6","0","24","235.139","N/A","5","5","5","5","5","5","1","5","5","30.582","4.448","6.816","14.985","7.951","7.4","12.682","6.034","5.65","122.395","N/A","11/09/2025 12:15:02","42.308","52.381","51.429"
"ICWB0ZQ1I0GA","1","0","0.35294117647059","2","2","FFFFFF","8","FFFFFF","2","FFFFFF","FFFFFF","FFFFFF","FFFFFF","5","N/A","3","0","16","21.999","2","1","12","40.009","3","0","14","14.404","8","1","42","76.412","N/A","4","22.411","4","22.461","4","25.241","3","10.957","3","29.279","3","20.541","4","35.03","165.920","N/A","2","2","3","55.028","1","3","2","5","5","4","3","5","5","5","5","5","1","4","16.292","4","8.387","4","11.793","4","7.149","4","8.999","4","21.791","74.411","N/A","0","0","24","71.681","N/A","3","0","24","188.324","N/A","5","5","5","5","5","5","5","5","5","12.123","9.31","10.375","9.143","6.795","11.324","8.162","9.791","8.877","110.44","N/A","11/09/2025 12:10:45","19.231","47.619","88.571"
"RYB1ZLYWE1M9","1","1","0.35294117647059","1","3","FFFFFF","10","FFFFFF","2","FFFFFF","FFFFFF","FFFFFF","FFFFFF","0","N/A","2","1","17","21.006","3","0","11","15.32","0","3","17","24.125","5","4","45","60.451","N/A","3","6.308","4","22.982","4","7.115","4","18.53","4","8.462","4","9.256","3","10.565","83.218","N/A","2","1","1","37.228","1","3","2","5","5","5","5","5","5","5","5","5","1","2","4.568","4","4.8","2","2.0","4","1.6","2","3.9","3","3.516","20.384","N/A","0","0","24","107.309","N/A","2","0","24","146.286","N/A","1","5","5","5","5","5","1","5","5","8.082","4.88","9.385","10.331","6.977","3.947","6.807","9.592","7.293","99.727","N/A","11/09/2025 11:59:25","23.077","38.095","80.000"
"CBW1MWFYTJ4S","3","1","0.29411764705882","1","3","FFFFFF","2","FFFFFF","1","FFFFFF","FFFFFF","FFFFFF","FFFFFF","0","N/A","3","0","16","39.015","1","2","13","19.199","2","2","15","22.899","6","4","44","81.113","N/A","3","11.05","2","10.932","1","4.75","1","29.216","2","11.049","3","9.049","1","11.666","87.712","N/A","3","2","3","28.215","2","4","1","3","5","5","5","3","3","2","2","3","5","0","2.3","4","2.4","2","2.8","3","3.3","3","2.5","3","2.4","15.700","N/A","2","0","24","81.429","N/A","17","0","1","300.0","12","1","1","1","1","1","1","1","1","1","18.233","6.382","8.116","9.999","14.829","14.199","12.932","17.065","13.349","144.026","N/A","11/09/2025 11:51:55","84.615","85.714","28.571"
"U0JD20CW4JWD","3","0","0.35294117647059","1","0","F6B39C","2","FFFFFF","2","FFFFFF","FFFFFF","FFFFFF","FFFFFF","0","N/A","2","3","17","23.5","2","13","12","31.597","13","26","4","44.415","17","42","33","99.512","N/A","3","5.25","2","20.583","4","5.933","3","5.833","4","3.716","4","2.233","3","2.5","46.048","N/A","2","0","0","20.966","1","2","2","5","5","5","5","5","5","5","5","5","1","3","5.964","3","4.146","2","2.014","3","3.912","2","1.4","2","1.413","18.849","N/A","2","0","24","95.03","N/A","4","0","24","124.561","N/A","1","1","1","5","5","1","1","5","1","1.267","1.067","1.301","2.883","1.234","1.233","1.266","3.167","1.25","33.799","N/A","11/09/2025 11:51:53","7.692","33.333","71.429"
"0CIP1GPIT9GT","3","1","0.35294117647059","2","2","FFFFFF","10","FFFFFF","1","FFFFFF","FFFFFF","FFFFFF","FFFFFF","5","N/A","14","0","5","34.649","12","0","2","26.816","14","0","3","27.965","40","0","10","89.430","N/A","4","9.083","3","9.7","4","3.582","4","25.499","4","35.565","4","5.417","4","68.346","157.192","N/A","2","1","1","21.799","2","3","2","1","4","3","4","2","3","1","2","3","1","1","3.65","3","3.231","3","5.018","3","3.05","3","3.496","2","6.249","24.694","N/A","1","0","24","66.263","N/A","1","0","24","106.745","N/A","5","5","5","5","5","1","1","5","1","4.4","5.199","10.716","8.0","9.45","19.615","8.75","12.516","11.767","112.595","N/A","11/09/2025 11:49:39","7.692","28.571","85.714"
"21NYHLZGMY65","3","1","0.29411764705882","1","3","FFDD9A","3","7F6021","2","319EB9","8C999C","B1EAF8","D820F6","5","N/A","19","34","0","99.845","10","27","4","0.0","0","0","17","0.0","29","61","21","99.845","00","4","7.633","4","9.866","4","14.999","3","6.551","4","12.832","4","11.116","4","4.733","67.730","N/A","1","1","1","20.967","2","3","2","4","5","4","5","4","5","3","4","5","2","2","5.1","4","3.3","3","2.639","3","3.8","3","9.1","3","3.2","27.139","N/A","0","0","24","89.463","N/A","0","0","24","171.091","N/A","5","5","1","5","5","5","5","5","5","6.067","4.25","10.032","4.433","5.75","6.033","5.733","5.233","5.483","77.446","N/A","11/09/2025 11:45:24","11.538","4.762","88.571"
"818GQ1A0LZXY","1","0","0.47058823529412","0","5","FFFFFF","8","0F0D0D","1","FFFFFF","FFFFFF","FFFFFF","FFFFFF","5","N/A","0","0","19","10.283","0","0","14","5.433","0","0","17","1.7","0","0","50","17.416","N/A","1","1.533","3","10.233","3","13.033","1","19.227","2","1.182","4","15.967","1","5.833","67.008","N/A","3","2","3","11.716","2","3","2","5","5","5","5","5","5","5","5","5","1","4","8.3","4","3.8","4","1.0","3","1.8","3","1.5","3","7.4","23.800","N/A","0","0","24","59.214","N/A","4","0","24","109.245","N/A","5","5","1","5","5","5","5","1","5","4.482","3.917","3.35","3.349","3.067","4.566","4.432","3.017","4.765","59.147","N/A","11/09/2025 11:42:48","19.231","57.143","85.714"
"6K8O0GZD1VNS","3","1","0.29411764705882","3","4","EEDF7E","10","F5DC47","2","34311E","776700","36CEB5","3648CE","5","N/A","8","0","11","31.565","2","5","12","20.499","5","0","12","23.049","15","5","35","75.113","N/A","4","12.733","3","16.682","3","18.416","4","17.349","4","4.5","4","6.45","4","5.999","82.129","N/A","1","1","1","21.049","1","3","2","5","5","3","5","5","5","5","3","2","1","3","4.1","4","1.0","3","1.6","4","0.8","4","3.8","4","2.3","13.600","N/A","","","","","","","","","","","5","5","5","5","5","5","5","5","5","3.733","3.916","8.583","6.066","3.899","5.365","5.949","5.983","5.983","70.562","N/A","11/09/2025 11:36:58","11.538","23.810","68.571"
"WAKJTTT9MQBH","0","1","0.35294117647059","2","2","EEE497","7","000000","0","FFFFFF","000000","1412EB","070000","0","N/A","2","1","17","17.294","1","2","13","11.009","2","1","15","10.199","5","4","45","38.502","N/A","2","3.733","1","10.012","2","5.716","1","6.243","2","32.323","3","42.825","1","3.348","104.200","N/A","1","1","1","54.941","1","4","2","4","1","1","2","3","3","3","3","1","2","1","6.451","2","9.804","2","3.671","2","2.996","1","14.193","2","2.294","39.409","N/A","0","0","24","85.244","N/A","0","0","24","237.793","N/A","1","5","5","5","1","1","1","5","1","3.683","3.65","2.899","3.214","3.684","4.102","4.68","5.798","4.18","59.961","N/A","11/09/2025 11:32:18","46.154","57.143","68.571"
"1QEYNUL90SWJ","1","0","0.35294117647059","2","5","FFFFFF","11","FFFFFF","2","FFFFFF","FFFFFF","FFFFFF","FFFFFF","5","N/A","6","7","13","39.256","2","1","12","9.133","0","3","17","10.649","8","11","42","59.038","N/A","4","0.983","1","1.933","3","1.734","1","12.132","3","2.434","1","5.433","3","1.407","26.056","N/A","3","2","3","46.882","2","1","2","5","5","5","5","5","5","5","5","3","1","4","2.333","4","2.715","4","1.682","4","2.217","4","0.116","4","0.066","9.129","N/A","0","0","24","118.494","N/A","0","0","24","208.401","N/A","1","5","5","5","5","5","5","5","1","46.732","33.024","15.532","7.067","4.3","11.267","19.441","6.783","3.966","171.816","N/A","11/09/2025 11:32:07","19.231","52.381","85.714"
"9L9UE1GJH892","1","0","0.35294117647059","1","0","FFFFFF","8","FFFFFF","2","FFFFFF","FFFFFF","FFFFFF","FFFFFF","5","N/A","19","34","0","63.561","0","2","14","6.641","0","0","17","2.648","19","36","31","72.850","N/A","2","20.78","2","17.716","2","5.092","2","20.901","2","6.325","2","3.813","2","6.68","81.307","N/A","2","1","3","34.762","1","2","2","1","1","1","5","5","1","5","5","1","3","1","5.5","1","3.7","2","2.7","0","11.2","1","4.6","2","3.2","30.900","N/A","1","0","24","91.748","N/A","7","0","24","154.977","N/A","5","1","1","1","1","5","1","1","5","14.889","8.932","17.725","7.945","12.305","13.94","15.009","9.1","9.246","133.076","N/A","11/09/2025 11:21:43","26.923","90.476","62.857"
"A1RW3K8WELBF","1","2","0.41176470588235","0","0","FFFFFF","0","FFFFFF","0","FFFFFF","FFFFFF","FFFFFF","FFFFFF","0","N/A","1","2","18","29.233","0","0","14","7.465","0","0","17","2.983","1","2","49","39.681","N/A","3","18.083","4","3.184","4","7.382","4","56.364","4","4.25","2","2.517","1","42.764","134.544","N/A","3","2","1","56.049","2","3","2","5","5","1","5","5","5","5","5","5","5","0","5.988","4","3.744","4","1.088","3","1.643","4","3.244","3","3.415","19.122","N/A","0","0","24","60.313","N/A","2","0","24","121.544","N/A","1","5","1","5","5","1","1","5","5","19.565","1.916","1.866","23.199","2.601","1.9","2.117","4.9","1.767","87.43","N/A","11/09/2025 11:17:34","15.385","23.810","85.714"
"YXFFE1R96XUN","0","1","0.29411764705882","2","0","F0F0AB","10","FFFFFF","0","FFFFFF","FFFFFF","3154D1","D131CD","5","N/A","3","0","16","14.383","3","0","11","9.866","3","0","14","9.216","9","0","41","33.465","N/A","-1","-1.0","3","217.923","-1","-1.0","-1","-1.0","-1","-1.0","-1","-1.0","-1","-1.0","211.923","10","1","1","1","26.015","2","1","2","5","4","5","4","4","5","5","4","5","1","4","7.622","4","1.65","4","2.265","3","2.064","3","3.763","3","7.58","24.944","N/A","0","0","24","105.561","N/A","6","0","23","300.0","10","5","5","-1","-1","5","-1","-1","-1","5","49.781","27.498","-1.0","-1.0","28.716","-1.0","-1.0","-1.0","48.464","180.0","10","11/09/2025 11:16:52","11.538","14.286","74.286"
"3SIQEES5L519","1","0","0.41176470588235","2","3","E5D29D","3","645C86","1","695AA3","B59A51","44423D","AB4848","7","N/A","1","2","18","26.449","0","3","14","29.933","1","2","16","27.682","2","7","48","84.064","N/A","2","11.716","2","12.3","2","3.917","2","70.88","2","6.6","2","9.483","2","6.267","121.163","N/A","1","1","1","17.633","1","4","2","3","2","3","3","1","2","3","2","2","3","1","5.429","1","7.762","2","16.539","2","4.828","0","2.748","1","8.63","45.936","N/A","0","0","24","48.163","N/A","3","0","24","85.597","N/A","1","1","5","1","1","1","1","5","5","4.35","5.383","6.167","4.866","4.532","4.55","4.366","8.617","3.384","70.746","N/A","11/09/2025 11:15:38","46.7","52.4","40.5"
