"Código de Acesso","F0101","F0102","F0103","F0104","F0201","Cor0202","F0203","Cor0204","F0205","Cor0206","F0207","Cor0208","Cor0209Outro","L0210 (não likert)","F0299 - Explicação Tempo","Q0401","Q0402","Q0403","T0404","Q0405","Q0406","Q0407","T0408","Q0409","Q0410","Q0411","T0412","Q0413","Q0414","Q0415","T0498","T0499 - Explicação Tempo","P01","T01","P02","T02","P03","T03","P05","T05","P09","T09","P12","T12","P15","T15","PTempoTotal","PTempoTotalExpl","QtdComida","QtdPessoas","QtdSom","GameTempoTotal","QtdDormir","QtdHorasDormi","QtdHorasSono","Acordar","F0705","F0706","F0707","F0708","F0709","F0710","F0711","F0712","F0713","F1101","F1102","F1103","F1104","F1105","Tempo1106","F1107","Tempo1108","F1109","Tempo1110","F1111","Tempo1112","TempoTotal11","T1199Expl","Q1201","Q1202","Q1203","T1204","T1205Expl","Q1206","Q1207","Q1208","Q1209","T1210Expl","P04","P08","P10","P12","P02","P03","P07","P09","P13","T04","T08","T10","T12","T02","T03","T07","T09","T13","TempoTotal","TempoTotalExpl","Data/Hora Último","Target1","Target2","Target3"
"MHFGSCZ3AUST","3","1","0.35294117647059","4","4","FFFFFF","10","FFFFFF","2","FFFFFF","FFFFFF","FFFFFF","FFFFFF","0","N/A","0","3","19","32.099","3","0","11","12.224","3","1","14","20.0","6","4","44","64.323","N/A","2","6.425","2","15.195","2","5.631","2","29.158","3","22.173","4","20.926","1","7.989","107.497","N/A","2","0","1","25.043","3","1","3","3","4","2","1","2","3","3","3","2","4","1","4.8","2","3.0","2","2.6","0","5.6","1","9.579","2","11.9","37.479","N/A","0","0","24","62.078","N/A","0","0","24","132.973","N/A","5","5","1","1","1","1","1","1","1","7.679","11.155","8.553","4.643","16.562","6.011","2.983","25.131","7.235","115.117","N/A","11/09/2025 11:11:34","46.154","57.143","51.429"
"T73DEK6YHNUH","3","1","0.41176470588235","0","0","FFFFFF","10","DD6EDC","0","FFFFFF","FFFFFF","831BAC","F092EF","0","N/A","2","2","17","55.464","0","1","14","7.85","3","0","14","13.85","5","3","45","77.164","N/A","2","14.234","1","6.599","2","7.283","2","22.565","3","16.933","2","3.833","1","9.083","80.530","N/A","2","1","1","17.349","2","3","3","1","3","1","2","3","2","3","3","1","5","1","5.899","0","7.049","1","4.233","1","3.216","2","2.464","1","2.033","24.894","N/A","0","0","24","78.23","N/A","1","0","24","126.978","N/A","1","1","1","1","1","1","1","1","1","5.633","5.516","5.716","5.783","5.883","6.117","7.517","8.116","6.9","80.146","N/A","11/09/2025 11:05:56","30.769","57.143","68.571"
"8ZZ2NM1K2TAZ","1","0","0.35294117647059","2","3","FFFFFF","5","FFFFFF","2","FFFFFF","FFFFFF","FFFFFF","FFFFFF","0","N/A","3","3","16","21.199","3","0","11","6.25","3","0","14","6.35","9","3","41","33.799","N/A","4","6.149","3","8.367","4","5.166","3","18.898","4","2.734","4","9.3","3","5.316","55.930","N/A","1","2","1","18.616","2","2","2","4","5","4","5","5","5","5","4","5","2","4","23.933","4","11.033","3","6.266","3","5.266","4","5.816","3","7.567","59.881","N/A","0","0","24","45.632","N/A","1","0","24","99.205","N/A","5","5","5","5","5","5","1","5","5","4.333","3.901","4.734","5.199","3.967","3.75","9.516","9.917","4.934","71.696","N/A","11/09/2025 11:00:54","19.231","80.952","54.286"
"JSL2R9Z9BJ62","2","1","0.29411764705882","1","0","EBC882","13","392600","0","FFFFFF","FFFFFF","222222","FE79FE","5","N/A","1","2","18","22.632","0","2","14","16.266","0","1","17","4.667","1","5","49","43.565","N/A","3","4.283","4","27.548","3","172.125","-1","-1.0","-1","-1.0","4","55.815","2","6.649","264.420","00","2","1","3","29.864","2","3","2","3","4","3","5","4","4","3","4","4","1","3","6.8","4","4.0","2","9.1","3","3.1","4","3.6","3","1.9","28.500","N/A","0","0","24","84.429","N/A","0","0","24","149.077","N/A","5","5","5","1","5","1","5","5","5","8.182","6.516","5.915","11.066","12.533","16.8","5.766","15.749","6.617","118.644","N/A","11/09/2025 10:59:46","3.846","28.571","88.571"
"X6VXOXPOAZ3G","3","1","0.29411764705882","1","2","FFFFFF","3","FFFFFF","2","FFFFFF","FFFFFF","FFFFFF","FFFFFF","0","N/A","2","4","17","74.438","0","4","14","38.749","1","1","16","12.366","3","9","47","125.553","N/A","1","7.065","1","23.117","3","8.716","2","28.283","2","4.649","3","8.483","1","6.483","86.796","N/A","0","0","1","16.483","1","4","2","3","1","3","2","2","2","3","2","3","4","0","7.981","1","1.315","1","3.711","1","6.631","1","4.016","2","6.98","30.634","N/A","0","0","24","247.939","N/A","8","0","8","300.0","12","1","5","5","1","5","1","1","1","1","9.85","7.2","6.836","6.733","8.199","9.3","11.468","3.9","5.917","115.794","N/A","11/09/2025 10:52:48","53.846","61.905","48.571"
"CCBR2QIEWXTT","1","1","0.29411764705882","2","0","FFFFFF","10","3C1301","1","FFFFFF","020304","074588","F00CE9","0","N/A","7","8","12","82.23","1","11","13","44.165","4","4","13","0.0","12","23","38","126.395","00","4","10.782","4","20.399","4","18.166","4","6.717","4","14.566","4","13.599","-1","-1.0","83.229","00","2","2","2","39.598","2","3","2","5","5","5","5","5","5","5","5","5","1","4","8.4","4","6.3","4","4.2","4","5.4","4","21.3","4","3.8","49.400","N/A","0","0","24","76.679","N/A","2","0","24","140.461","N/A","5","5","5","5","5","5","5","5","5","4.916","4.882","8.849","5.416","8.881","6.55","5.866","6.049","6.25","79.877","N/A","11/09/2025 10:52:34","0.000","4.762","85.714"
"HI64ZQCA4U7L","3","1","0.29411764705882","3","4","FFFFFF","10","FFFFFF","2","FFFFFF","FFFFFF","FFFFFF","FFFFFF","5","N/A","3","0","16","15.466","3","0","11","9.367","3","0","14","12.282","9","0","41","37.115","N/A","4","18.633","4","22.066","4","9.05","4","8.999","3","22.083","4","1.533","4","7.349","89.713","N/A","2","1","3","36.58","2","3","2","5","5","5","5","5","5","5","5","5","1","3","7.1","4","6.032","2","6.5","4","5.6","3","7.0","3","9.0","41.232","N/A","0","0","24","62.481","N/A","8","0","24","187.591","N/A","5","5","5","5","5","5","5","5","5","4.4","3.183","8.366","5.432","4.184","5.016","6.384","6.482","5.833","76.514","N/A","11/09/2025 10:50:41","11.538","9.524","85.714"
"WKHRFIXANWM7","3","3","0.41176470588235","0","3","FFFFFF","5","FFFFFF","1","FFFFFF","FFFFFF","FFFFFF","FFFFFF","5","N/A","0","0","19","15.699","0","1","14","18.232","0","2","17","6.683","0","3","50","40.614","N/A","4","29.466","3","54.78","3","12.233","4","66.297","3","32.215","4","23.199","3","19.565","237.755","N/A","2","1","1","50.498","2","3","2","5","5","5","5","5","5","5","5","5","1","4","8.949","4","3.182","4","0.867","3","9.166","4","2.167","4","1.933","26.264","N/A","5","0","24","150.108","N/A","21","0","0","300.0","10","","","","","","","","","","","","","","","","","","","","","05/09/2025 12:16:10","0.0","28.6","95.2"
"Q9GH4MS56JTH","5","1","0.35294117647059","1","0","FDEAED","10","FFFFFF","1","FFFFFF","EBA3EE","CB5DD0","E719F0","0","N/A","3","1","16","15.199","2","1","12","11.882","2","1","15","17.933","7","3","43","45.014","N/A","4","2.949","2","3.617","4","1.65","3","6.916","4","10.216","4","12.282","4","31.748","69.378","N/A","2","1","2","36.765","2","3","2","4","1","1","5","5","5","5","5","2","1","4","6.266","3","6.565","4","2.649","3","1.034","3","1.151","4","1.766","19.431","N/A","","","","","","","","","","","5","1","5","1","5","1","5","5","1","7.317","12.232","10.266","9.583","9.032","13.933","11.183","27.481","6.384","134.823","N/A","05/09/2025 12:16:00","23.3","9.5","78.6"
"B0CUE7TLVWFB","3","1","0.41176470588235","3","4","FFDD94","3","5B3E00","1","FFFFFF","000000","467174","746646","2","N/A","12","15","7","59.115","4","3","10","25.467","0","0","17","1.4","16","18","34","85.982","N/A","2","12.882","3","22.967","1","7.234","4","6.516","3","18.066","4","6.849","1","8.868","83.382","N/A","3","2","3","27.515","2","1","2","5","2","3","2","3","5","4","4","3","1","3","6.6","4","2.8","3","4.4","2","8.4","3","6.1","2","7.7","36.000","N/A","2","0","24","53.532","N/A","4","0","24","201.443","N/A","5","5","5","5","1","1","1","5","5","11.033","5.117","6.65","7.733","6.099","8.683","8.8","5.95","6.498","93.647","N/A","05/09/2025 12:11:59","26.923","76.190","77.143"
"AXB8ABFO9R4A","4","0","0.41176470588235","3","4","FFFFFF","11","FFFFFF","2","FFFFFF","FFFFFF","FFFFFF","FFFFFF","1","N/A","2","2","17","23.882","1","2","13","15.416","3","0","14","14.099","6","4","44","53.397","N/A","4","0.9","2","10.367","4","2.816","4","17.882","4","12.249","2","3.583","4","4.784","52.581","N/A","1","1","3","19.3","1","3","2","5","5","4","5","5","5","5","5","5","1","4","17.809","4","3.647","4","1.699","4","5.646","4","4.159","4","1.079","34.039","N/A","2","0","24","185.061","N/A","5","0","24","255.186","N/A","1","5","1","5","5","5","5","5","5","1.733","3.783","8.267","6.049","2.8","6.399","5.499","8.866","4.949","70.996","N/A","05/09/2025 12:11:55","6.7","47.6","85.7"
"E9HHDM587MYT","1","0","0.41176470588235","2","3","FFFFFF","14","FFFFFF","2","FFFFFF","FFFFFF","FFFFFF","FFFFFF","6","N/A","1","0","18","14.832","1","0","13","3.667","1","0","16","3.8","3","0","47","22.299","N/A","3","4.883","2","5.75","3","2.75","4","8.25","3","7.649","3","5.9","4","14.082","49.264","N/A","2","0","1","10.349","1","1","3","4","2","5","3","3","5","3","3","5","3","2","3.532","2","3.498","2","1.615","3","1.547","1","4.497","3","5.632","20.321","N/A","0","0","24","68.456","N/A","11","0","24","142.592","N/A","5","5","1","5","1","5","1","5","5","3.467","3.417","5.6","8.066","3.666","3.217","3.4","4.466","3.167","58.664","N/A","05/09/2025 12:07:38","30.769","33.333","51.429"
"P8RJRSFO03YB","4","1","0.41176470588235","2","2","FFFFFF","6","FFFFFF","2","FFFFFF","FFFFFF","FFFFFF","FFFFFF","0","N/A","3","0","16","12.933","3","0","11","14.066","2","1","15","14.398","8","1","42","41.397","N/A","4","11.915","1","38.764","2","30.148","2","19.799","1","10.9","2","15.933","1","21.232","148.691","N/A","2","1","2","34.465","1","1","2","2","1","3","5","3","1","4","3","1","3","3","12.483","2","5.333","1","7.499","1","35.096","2","7.349","2","7.349","75.109","N/A","1","0","24","59.563","N/A","0","0","24","110.827","N/A","5","5","1","1","5","5","1","5","1","8.716","53.713","18.281","6.816","9.416","14.216","15.148","9.683","10.515","173.406","N/A","05/09/2025 12:06:33","61.538","80.952","17.143"
"SYZ34BO5B1CS","3","1","0.35294117647059","4","3","E8D393","10","FFFFFF","2","FFFFFF","FFFFFF","FFFFFF","FFFFFF","5","N/A","19","27","0","103.349","5","3","9","12.199","2","0","15","4.0","26","30","24","119.548","N/A","4","0.951","2","2.816","1","10.9","4","3.083","4","1.85","2","6.568","2","21.615","47.783","N/A","1","0","1","35.784","1","3","2","3","5","3","5","3","2","3","4","1","3","1","6.3","2","2.6","1","1.3","2","1.9","2","1.4","1","4.5","18.000","N/A","","","","","","","","","","","1","5","5","1","1","5","1","5","5","9.683","5.432","4.666","4.467","3.666","4.8","10.801","4.95","12.166","85.147","N/A","05/09/2025 11:53:35","46.7","71.4","71.4"
"H67BOXKYP58U","3","1","0.35294117647059","3","2","B66B39","13","FFFFFF","1","FFFFFF","FFFFFF","FFFFFF","FFFFFF","5","N/A","17","1","2","95.345","11","0","3","0.0","0","0","17","0.0","28","1","22","95.345","02","2","11.882","3","27.549","3","21.833","2","28.232","3","26.032","4","20.582","3","22.749","158.859","N/A","2","2","2","57.613","2","2","2","4","5","3","4","4","4","4","3","4","1","2","13.2","1","5.0","1","3.7","2","1.8","2","2.9","2","3.6","30.200","N/A","0","0","24","55.864","N/A","0","0","24","142.126","N/A","5","5","5","5","5","5","5","5","5","10.349","15.316","20.232","17.917","10.8","16.449","8.131","20.55","11.233","152.409","N/A","05/09/2025 11:43:25","30.769","52.381","60.000"
"MQUVFBYLSAMY","1","0","0.35294117647059","5","7","FFFFFF","8","FFFFFF","2","FFFFFF","FFFFFF","FFFFFF","FFFFFF","0","N/A","3","0","16","8.784","3","0","11","6.883","3","0","14","7.183","9","0","41","22.850","N/A","2","39.21","3","24.766","2","11.049","3","28.146","3","30.316","4","5.35","4","55.545","194.382","N/A","2","0","1","52.598","1","2","2","5","2","3","3","2","4","3","3","3","2","2","7.9","2","6.7","2","14.4","1","4.7","2","10.9","2","5.9","50.500","N/A","2","0","24","74.245","N/A","2","0","24","112.608","N/A","5","5","5","5","1","5","1","5","1","22.398","6.7","17.547","14.299","9.582","15.483","16.516","28.949","4.366","160.689","N/A","05/09/2025 11:37:33","19.231","19.048","42.857"
"9S9PVIW9GPRC","3","1","0.41176470588235","3","2","FFFFFF","3","0806F5","1","FFFFFF","0E0E11","1F1F11","E1E812","0","N/A","3","0","16","11.417","3","0","11","9.616","3","0","14","7.466","9","0","41","28.499","N/A","2","5.1","3","18.849","2","25.765","2","21.116","2","6.083","1","7.683","2","7.733","92.329","N/A","1","0","0","21.599","1","1","2","1","3","1","1","2","1","2","2","4","3","0","6.414","1","4.584","1","5.596","0","4.1","1","2.066","0","4.416","27.176","N/A","0","0","24","63.98","N/A","0","0","24","95.412","N/A","1","1","1","1","1","1","1","1","1","8.75","4.767","6.7","6.716","19.916","6.384","7.733","7.2","5.283","102.928","N/A","05/09/2025 11:29:20","73.077","85.714","54.286"
"O6GKEG2RRM3F","3","0","0.35294117647059","3","3","3E3200","5","FFFFFF","1","FFFFFF","FFFFFF","FFFFFF","FFFFFF","2","N/A","3","2","16","21.783","3","0","11","14.465","3","0","14","10.25","9","2","41","46.498","N/A","3","2.967","2","2.267","2","17.199","3","12.199","2","4.733","2","4.883","4","3.633","47.881","N/A","3","1","1","21.599","1","4","2","1","2","4","3","2","3","3","2","3","3","3","6.448","1","4.781","1","4.249","2","2.349","1","2.117","0","5.215","25.159","N/A","1","0","24","69.447","N/A","5","0","24","144.526","N/A","1","1","1","5","1","5","1","5","1","3.25","68.298","3.617","5.617","3.883","20.833","1.517","9.75","3.017","146.21","N/A","05/09/2025 11:28:42","38.462","61.905","54.286"
"UUDQQ40GWVHV","1","0","0.41176470588235","4","4","FFFFFF","11","FFFFFF","0","FFFFFF","FFFFFF","FFFFFF","FFFFFF","1","N/A","8","2","11","28.766","3","1","11","12.267","6","4","11","21.299","17","7","33","62.332","N/A","3","11.316","3","17.566","2","5.066","4","11.583","2","13.384","3","7.699","1","43.933","110.547","N/A","2","1","1","21.734","3","4","2","3","2","1","1","1","2","3","3","3","3","1","8.629","1","3.264","1","3.097","2","6.381","3","6.897","2","6.974","35.242","N/A","0","0","24","55.182","N/A","2","0","24","158.994","N/A","1","1","1","5","1","1","1","1","1","5.485","7.783","6.35","5.416","6.416","6.533","12.217","8.101","8.4","99.014","N/A","05/09/2025 11:18:28","53.846","71.429","25.714"
"7INUYE5U1SGW","3","0","0.35294117647059","1","2","FFFFFF","11","FFFFFF","2","FFFFFF","FFFFFF","FFFFFF","FFFFFF","5","N/A","0","0","19","9.386","0","0","14","1.067","0","0","17","0.766","0","0","50","11.219","N/A","3","2.399","3","24.136","4","20.299","4","14.65","4","34.818","4","1.95","3","5.033","103.285","N/A","2","2","1","15.867","1","3","2","1","3","5","5","5","5","5","5","5","1","4","2.4","4","3.7","4","1.3","3","4.8","3","3.0","4","0.8","16.000","N/A","1","0","24","89.598","N/A","18","0","24","178.099","N/A","5","5","5","1","5","5","5","5","1","4.65","7.516","6.5","5.05","11.933","8.199","8.6","13.283","5.6","101.251","N/A","05/09/2025 11:18:23","19.231","4.762","85.714"
"2KDMRCQSLCGP","1","0","0.35294117647059","2","4","FFFFFF","2","FFFFFF","2","FFFFFF","FFFFFF","FFFFFF","FFFFFF","5","N/A","3","0","16","32.516","2","2","12","14.88","3","0","14","11.332","8","2","42","58.728","N/A","4","2.366","4","1.684","2","2.349","4","19.829","4","13.866","3","4.118","4","11.398","55.610","N/A","2","1","1","20.562","1","3","2","4","5","5","4","5","5","5","5","5","1","4","3.3","3","3.7","4","1.4","3","1.7","4","1.3","3","1.1","12.500","N/A","0","0","24","54.131","N/A","13","0","24","151.868","N/A","5","5","1","5","5","5","5","5","5","7.116","6.317","6.65","5.4","4.016","3.05","7.864","4.883","4.333","72.777","N/A","05/09/2025 11:09:12","0.000","0.000","68.571"
"I3TAO64HVFP7","3","0","0.41176470588235","4","7","FFFFFF","8","FFFFFF","2","FFFFFF","FFFFFF","FFFFFF","FFFFFF","5","N/A","16","0","3","45.515","12","0","2","31.932","14","0","3","57.614","42","0","8","135.061","N/A","2","3.117","1","11.649","2","31.081","2","11.666","1","13.166","1","7.699","2","9.283","87.661","N/A","1","0","1","19.316","1","2","2","3","4","1","2","3","2","3","2","4","3","3","3.679","2","5.062","0","3.977","2","4.482","3","7.928","0","9.669","34.797","N/A","2","0","24","52.096","N/A","2","0","24","143.993","N/A","1","5","1","1","1","5","1","1","5","7.5","10.916","16.183","11.617","9.232","14.866","9.78","10.233","7.866","125.344","N/A","05/09/2025 11:07:15","50.000","76.190","51.429"
"49G3FWL0QVZR","1","0","0.41176470588235","4","5","FFFFFF","11","FFFFFF","2","FFFFFF","FFFFFF","FFFFFF","FFFFFF","5","N/A","1","1","18","19.799","0","0","14","13.383","0","0","17","3.166","1","1","49","36.348","N/A","3","20.232","3","13.703","4","18.55","4","18.266","4","3.433","3","5.467","4","11.199","90.850","N/A","2","2","3","17.3","1","3","2","5","5","5","5","5","5","5","5","5","1","2","1.4","1","2.1","4","7.1","3","3.6","3","4.3","3","1.8","20.300","N/A","0","0","24","73.487","N/A","22","0","24","212.2","N/A","5","5","5","5","5","5","5","5","5","6.633","3.117","13.598","4.3","7.367","9.887","60.32","16.9","20.954","173.405","N/A","05/09/2025 11:05:24","11.538","19.048","57.143"
"5GICME6M6BCS","1","0","0.35294117647059","4","4","FFFFFF","8","FFFFFF","0","FFFFFF","FFFFFF","FFFFFF","FFFFFF","0","N/A","1","2","18","16.099","2","1","12","10.05","3","0","14","12.516","6","3","44","38.665","N/A","1","5.767","2","12.833","4","14.166","1","3.95","4","5.05","4","8.566","2","15.949","66.281","N/A","2","0","3","35.465","1","3","2","5","5","5","5","5","5","5","5","5","3","1","20.999","4","1.416","1","5.232","4","1.466","3","3.583","4","1.0","33.696","N/A","0","0","24","74.746","N/A","8","0","13","300.0","10","5","5","5","1","5","1","1","5","5","7.483","17.199","13.616","9.899","15.749","10.449","18.232","11.85","9.633","146.592","N/A","05/09/2025 11:02:08","19.231","57.143","34.286"
"NV8C3LH1XRVH","0","0","0.41176470588235","3","3","FDEFA7","8","FFFFFF","1","FFFFFF","413E2E","6A6A6A","000000","0","N/A","0","0","19","10.066","0","0","14","6.7","1","2","16","24.432","1","2","49","41.198","N/A","3","6.483","2","29.549","1","11.066","2","5.484","1","12.632","1","4.7","1","20.316","90.230","N/A","2","1","1","47.165","2","3","2","3","4","2","2","2","3","2","3","2","3","0","7.3","0","3.2","1","4.9","0","1.9","4","2.5","1","4.1","23.900","N/A","2","0","24","75.463","N/A","5","0","24","172.608","N/A","1","1","1","1","1","1","1","1","1","8.4","4.366","17.116","6.833","9.383","7.117","10.75","10.8","5.1","105.645","N/A","05/09/2025 10:59:08","46.154","61.905","34.286"
"PDXGR7370SY1","1","0","0.35294117647059","2","1","FFFFFF","2","FFFFFF","2","FFFFFF","FFFFFF","FFFFFF","FFFFFF","2","N/A","8","1","11","47.68","9","0","5","32.915","7","0","10","27.099","24","1","26","107.694","N/A","4","2.932","4","5.049","4","6.267","3","17.733","3","8.1","3","11.166","3","12.166","63.413","N/A","2","1","1","17.383","2","3","2","3","4","2","5","4","3","4","4","5","2","4","4.831","3","3.266","2","4.05","2","6.164","3","7.963","2","1.382","27.656","N/A","0","0","24","61.447","N/A","6","0","24","144.66","N/A","5","5","5","5","5","5","5","5","5","6.283","4.167","4.2","5.8","6.683","6.617","6.282","8.682","7.183","85.33","N/A","05/09/2025 10:57:33","15.385","19.048","51.429"
"D9IBR3XGSVIS","3","1","0.58823529411765","2","2","FFFFFF","13","FFFFFF","1","FFFFFF","FFFFFF","FFFFFF","FFFFFF","0","N/A","3","0","16","19.615","3","0","11","9.416","3","0","14","16.033","9","0","41","45.064","N/A","2","10.716","3","24.358","1","8.116","1","6.25","3","18.015","1","13.983","1","5.109","86.547","N/A","1","1","0","22.855","1","1","2","4","5","5","4","5","5","3","4","5","1","2","4.931","2","14.317","1","4.399","3","3.416","2","2.098","2","2.816","31.977","N/A","0","0","24","70.36","N/A","2","0","24","133.657","N/A","5","1","1","1","5","5","1","1","1","5.8","1.9","5.3","8.049","2.05","5.049","10.183","12.79","12.015","83.352","N/A","05/09/2025 10:32:44","46.154","33.333","42.857"
"T4ZS9RKG8W5L","1","1","0.52941176470588","3","0","FFFFFF","0","FFFFFF","0","FFFFFF","FFFFFF","FFFFFF","FFFFFF","0","N/A","0","0","19","5.783","3","0","11","10.766","3","0","14","13.749","6","0","44","30.298","N/A","3","6.318","2","5.366","3","14.666","4","16.849","3","3.917","4","7.016","4","6.825","60.957","N/A","2","1","1","14.55","1","3","2","5","5","5","5","5","5","5","5","5","3","3","4.733","4","2.015","2","1.699","4","1.965","3","6.248","3","1.482","18.142","N/A","0","0","24","72.156","N/A","18","0","16","300.0","01","5","5","5","5","5","5","5","5","5","2.5","3.018","3.49","2.65","2.616","3.133","3.45","5.683","3.6","48.971","N/A","05/09/2025 10:27:53","11.538","9.524","57.143"
"EMJWQAWOGB78","3","1","0.58823529411765","4","3","FFFFFF","13","FFFFFF","2","FFFFFF","FFFFFF","FFFFFF","FFFFFF","5","N/A","2","2","17","51.065","0","1","14","13.703","0","1","17","7.7","2","4","48","72.468","N/A","1","5.767","2","3.984","2","18.582","2","7.637","1","6.834","1","13.715","1","7.516","64.035","N/A","1","0","1","14.649","1","1","3","1","1","2","1","3","2","3","3","2","3","1","8.481","1","2.199","1","2.082","0","2.283","1","14.265","0","6.95","36.260","N/A","1","0","24","90.217","N/A","9","0","17","300.0","00","1","5","1","1","1","1","1","1","1","5.936","5.333","6.25","4.984","6.217","34.019","6.234","5.9","5.517","104.768","N/A","05/09/2025 10:25:10","76.923","71.429","37.143"
"14EPUKHM4VWY","3","0","0.52941176470588","3","3","FFFFFF","2","FFFFFF","2","FFFFFF","FFFFFF","FFFFFF","FFFFFF","0","N/A","3","0","16","16.715","3","0","11","8.983","2","1","15","14.683","8","1","42","40.381","N/A","3","22.865","3","6.283","4","11.099","4","8.134","3","13.199","4","3.7","3","4.732","70.012","N/A","3","1","1","18.933","2","1","2","3","4","4","4","4","4","4","4","4","2","2","8.567","3","3.449","3","2.05","3","2.365","4","2.415","2","2.066","20.912","N/A","1","0","24","62.664","N/A","2","0","24","110.294","N/A","5","5","1","1","1","5","5","5","5","4.35","6.816","9.166","9.15","7.116","3.583","3.801","14.582","3.417","83.363","N/A","05/09/2025 10:23:25","19.231","28.571","85.714"
"EKZWA6AK3XBJ","3","1","0.58823529411765","3","2","FFFFFF","3","FFFFFF","1","FFFFFF","FFFFFF","FFFFFF","FFFFFF","0","N/A","3","0","16","17.113","3","0","11","8.233","3","0","14","7.767","9","0","41","33.113","N/A","2","11.15","3","12.683","2","12.733","2","12.182","1","7.75","1","9.466","1","9.033","74.997","N/A","1","0","1","25.149","1","1","3","3","3","1","3","1","3","3","3","1","3","1","6.262","2","8.565","1","5.53","2","8.545","2","6.749","1","1.852","37.503","N/A","0","0","24","70.297","N/A","1","0","24","139.211","N/A","1","1","1","1","1","1","1","1","1","6.616","6.616","10.9","10.433","4.383","8.283","18.65","8.266","9.8","105.395","N/A","05/09/2025 10:14:37","73.077","76.190","40.000"
"ZHLNSZ08EOLG","4","1","0.58823529411765","0","0","FFFFFF","0","FFFFFF","0","FFFFFF","FFFFFF","FFFFFF","FFFFFF","1","N/A","0","0","19","4.983","0","0","14","4.799","0","0","17","1.7","0","0","50","11.482","N/A","-1","-1.0","-1","-1.0","4","2.066","3","12.2","2","26.475","-1","-1.0","1","18.366","56.107","00","1","1","0","13.433","1","1","2","4","3","4","5","1","5","2","4","4","1","0","1.183","2","7.144","2","1.465","2","1.294","3","0.414","4","0.397","11.897","N/A","14","0","24","211.956","N/A","17","0","0","300.0","11","1","5","1","1","5","1","5","1","1","1.449","8.798","2.533","1.6","2.0","2.315","2.415","2.5","3.133","49.781","N/A","05/09/2025 10:10:54","23.077","19.048","51.429"
"4VAENHG4BD15","3","1","0.52941176470588","4","0","FFFFFF","6","FFFFFF","2","FFFFFF","FFFFFF","FFFFFF","FFFFFF","0","N/A","4","5","15","27.732","5","6","9","21.833","4","6","13","20.232","13","17","37","69.797","N/A","3","7.366","2","4.116","3","12.35","4","1.6","2","29.949","4","4.866","3","1.617","61.864","N/A","1","1","0","19.066","1","1","3","1","5","5","5","5","5","5","5","5","5","4","5.748","4","3.214","4","4.097","0","3.431","4","2.778","4","1.298","20.566","N/A","","","","","","","","","","","1","1","5","5","5","1","5","5","5","1.534","1.85","3.532","1.816","3.299","2.466","2.416","3.416","5.2","49.98","N/A","05/09/2025 10:05:58","73.3","100.0","88.1"
"TL6LQ0995YLJ","0","1","0.52941176470588","5","0","FFFFFF","3","FFFFFF","2","FFFFFF","FFFFFF","FFFFFF","FFFFFF","0","N/A","15","1","4","49.331","13","0","1","39.614","12","0","5","35.999","40","1","10","124.944","N/A","3","5.734","1","33.781","2","5.383","1","29.082","1","2.317","1","7.567","3","18.347","102.211","N/A","2","1","1","25.033","1","1","2","1","3","1","2","2","3","3","4","1","3","0","12.273","1","7.329","1","2.981","0","2.732","1","2.482","2","5.515","33.312","N/A","0","0","24","73.404","N/A","0","0","24","116.945","N/A","5","1","5","1","1","1","1","1","1","9.783","6.325","8.682","6.234","6.35","5.5","8.459","5.216","6.267","87.546","N/A","05/09/2025 10:01:51","61.538","57.143","25.714"
"6RUP0RTCMKVT","3","1","0.58823529411765","3","0","FFFFFF","13","FFFFFF","2","FFFFFF","FFFFFF","FFFFFF","FFFFFF","5","N/A","1","0","18","10.216","0","1","14","13.316","0","1","17","8.2","1","2","49","31.732","N/A","4","23.832","4","16.717","4","3.417","2","7.966","4","2.35","4","3.483","4","52.347","110.112","N/A","2","1","2","17.982","2","3","2","5","5","5","5","5","5","5","5","5","1","4","2.416","4","2.083","3","2.148","3","1.3","3","2.683","2","0.698","11.328","N/A","0","0","24","121.977","N/A","13","0","8","300.0","00","1","5","5","5","5","5","1","1","5","9.383","4.399","6.8","7.183","7.583","5.883","3.949","4.25","7.65","80.679","N/A","05/09/2025 09:55:47","3.846","19.048","94.286"
"5L03MHHBWFNX","3","0","0.41176470588235","2","5","D18831","8","FFFFFF","2","CD0000","4A0000","EEECE9","0C0B0A","5","N/A","19","34","0","58.58","14","39","0","43.065","17","35","0","39.948","50","108","0","141.593","N/A","4","100.478","3","11.981","4","11.633","4","64.58","3","4.1","4","3.433","3","6.883","203.088","N/A","2","1","3","29.083","2","3","2","5","5","5","5","5","5","5","5","5","1","1","3.8","4","2.4","4","1.8","3","5.4","4","1.9","3","5.8","21.100","N/A","0","0","24","59.697","N/A","6","0","24","141.744","N/A","5","5","5","5","1","5","5","5","5","4.649","5.233","6.182","6.299","9.483","7.367","5.184","6.583","5.583","85.98","N/A","04/09/2025 12:13:03","11.538","9.524","85.714"
