Código de Acesso,F0101,F0102,F0103,F0104,F0201,Cor0202,F0203,Cor0204,F0205,Cor0206,F0207,Cor0208,Cor0209Outro,L0210 (não likert),F0299 - Explicação Tempo,Q0401,Q0402,Q0403,T0404,Q0405,Q0406,Q0407,T0408,Q0409,Q0410,Q0411,T0412,Q0413,Q0414,Q0415,T0498,T0499 - Explicação Tempo,P01,T01,P02,T02,P03,T03,P05,T05,P09,T09,P12,T12,P15,T15,PTempoTotal,PTempoTotalExpl,QtdComida,QtdPessoas,QtdSom,GameTempoTotal,QtdDormir,QtdHorasDormi,QtdHorasSono,Acordar,F0705,F0706,F0707,F0708,F0709,F0710,F0711,F0712,F0713,F1101,F1102,F1103,F1104,F1105,Tempo1106,F1107,Tempo1108,F1109,Tempo1110,F1111,Tempo1112,TempoTotal11,T1199Expl,Q1201,Q1202,Q1203,T1204,T1205Expl,Q1206,Q1207,Q1208,Q1209,T1210Expl,P04,P08,P10,P12.1,P02.1,P03.1,P07,P09.1,P13,T04,T08,T10,T12.1,T02.1,T03.1,T07,T09.1,T13,TempoTotal,TempoTotalExpl,Data/Hora Último,Target1,Target2,Target3
SL238SLJOF09,1,0,0.29411764705882354,2,3,FFFFFF,8,FFFFFF,2,0044FF,907300,000000,00FFF2,2,,3,0,16,21.716,3,0,11,14.399,3,0,14,17.518,9,0,41,53.633,,4.0,3.649,3.0,14.682,4.0,15.135,4.0,15.333,4.0,4.95,3.0,6.6,3.0,27.101,87.45,,2,2,3,23.749,2,3,2,5,5,5,5,5,5,5,5,5,1,4,5.4,4,1.9,4,6.1,4,18.5,4,3.5,4,3.7,39.1,,1.0,0.0,24.0,86.832,,4.0,0.0,24.0,231.745,,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.833,6.668,35.315,4.883,9.432,10.033,7.067,12.783,7.015,130.713,,12/09/2025 10:39:13,0.0,0.0,85.714
WJ2MU06OBKPO,3,0,0.4117647058823529,2,2,B08A66,5,34141E,2,A00031,1F2449,8B1620,3E3B3B,0,,4,3,15,49.281,2,1,12,15.116,0,0,17,4.233,6,4,44,68.63,,2.0,8.183,1.0,31.081,4.0,30.032,1.0,24.282,1.0,10.266,2.0,21.333,3.0,30.782,155.959,,2,1,2,28.232,1,3,2,3,3,2,4,4,3,2,4,2,1,1,21.542,4,8.016,2,4.148,0,17.775,2,9.064,3,9.163,69.708,,1.0,0.0,24.0,97.013,,4.0,0.0,24.0,264.004,,5.0,5.0,5.0,1.0,1.0,1.0,5.0,5.0,1.0,5.866,8.266,10.233,7.967,6.717,10.849,14.515,21.732,17.699,131.31,,12/09/2025 10:35:35,34.615,100.0,54.286
9IGDF7ZDLII5,1,1,0.47058823529411764,1,0,FFFFFF,10,FFFFFF,2,FFFFFF,FFFFFF,FFFFFF,FFFFFF,2,,7,1,12,41.149,0,6,14,55.63,2,0,15,13.749,9,7,41,110.528,,2.0,4.133,1.0,10.15,1.0,36.907,2.0,17.882,1.0,21.382,1.0,6.133,2.0,6.017,102.604,,1,1,0,17.715,1,2,1,1,1,1,1,1,1,1,1,1,3,0,2.7,1,3.9,1,0.6,1,0.5,1,0.4,1,0.8,8.9,,2.0,0.0,24.0,124.894,,2.0,0.0,24.0,177.508,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.101,4.816,4.45,4.749,6.065,4.334,3.982,6.483,6.033,69.362,,12/09/2025 10:30:05,92.308,90.476,0.0
97TP7GJA3HGF,3,0,0.47058823529411764,2,5,FFFFFF,5,FFFFFF,2,FFFFFF,FFFFFF,FFFFFF,FFFFFF,5,,0,4,19,57.048,0,0,14,2.6,0,0,17,1.783,0,4,50,61.431,,3.0,0.5,1.0,3.833,2.0,1.484,4.0,11.032,3.0,8.783,4.0,8.633,1.0,3.6,37.865,,3,0,2,18.983,2,4,1,5,5,5,5,5,5,1,5,5,1,4,10.113,4,5.982,4,2.228,1,2.632,2,2.449,4,1.249,24.653,,4.0,0.0,24.0,75.613,,21.0,0.0,24.0,142.693,,1.0,5.0,1.0,1.0,1.0,1.0,5.0,5.0,5.0,9.566,2.568,5.901,8.516,2.566,5.649,10.133,7.765,3.133,78.462,,12/09/2025 10:25:36,34.615,76.19,68.571
EN3ALMKV2XAH,1,0,0.47058823529411764,0,0,FFFFFF,0,FFFFFF,0,FFFFFF,FFFFFF,FFFFFF,FFFFFF,0,,0,0,19,5.817,0,0,14,3.25,0,0,17,2.333,0,0,50,11.4,,4.0,3.434,2.0,8.033,4.0,6.566,1.0,164.321,4.0,7.25,2.0,4.016,3.0,4.817,198.437,,2,2,3,26.981,2,3,1,5,5,5,5,5,5,5,5,5,1,2,3.0,4,1.6,4,1.9,3,1.6,4,2.6,4,1.6,12.3,,3.0,0.0,24.0,177.47,,9.0,0.0,24.0,297.723,,1.0,5.0,5.0,1.0,5.0,5.0,5.0,1.0,5.0,9.083,2.841,2.232,2.482,1.484,2.948,3.633,6.333,3.283,60.938,,12/09/2025 10:20:06,11.538,23.81,100.0
YZ9PZX2D9B6T,1,1,0.47058823529411764,2,0,F5D588,10,612119,1,FFFFFF,5B382B,383F76,FF5EBF,2,,19,4,0,62.347,12,0,2,55.147,14,0,3,0.0,45,4,5,117.494,2.0,4.0,10.949,1.0,10.766,1.0,4.45,1.0,10.516,1.0,4.384,4.0,3.366,1.0,4.433,48.864,,1,1,2,14.716,2,1,3,3,5,4,5,4,5,5,5,5,5,1,3.094,4,7.161,0,3.495,4,7.943,1,7.861,4,3.494,33.048,,0.0,0.0,24.0,38.701,,0.0,0.0,24.0,55.199,,1.0,1.0,5.0,1.0,1.0,1.0,1.0,5.0,5.0,3.167,4.55,9.566,6.017,3.283,5.333,3.7,5.0,3.267,64.495,,11/09/2025 12:15:50,65.385,80.952,48.571
2U313TK7XGFP,1,0,0.4117647058823529,3,5,FFE8A1,8,FFFFFF,1,FFFFFF,D17410,2010D1,FFFFFF,5,,3,0,16,15.649,3,0,11,6.9,3,0,14,10.183,9,0,41,32.732,,4.0,24.783,4.0,15.133,4.0,7.116,4.0,5.868,3.0,30.298,3.0,12.315,2.0,12.2,107.713,,2,1,3,57.281,2,1,2,5,5,4,5,5,5,5,5,5,1,3,8.751,4,2.747,2,3.5,4,12.933,4,7.683,2,17.197,52.811,,0.0,0.0,24.0,120.36,,6.0,0.0,24.0,235.139,,5.0,5.0,5.0,5.0,5.0,5.0,1.0,5.0,5.0,30.582,4.448,6.816,14.985,7.951,7.4,12.682,6.034,5.65,122.395,,11/09/2025 12:15:02,42.308,52.381,51.429
ICWB0ZQ1I0GA,1,0,0.35294117647058826,2,2,FFFFFF,8,FFFFFF,2,FFFFFF,FFFFFF,FFFFFF,FFFFFF,5,,3,0,16,21.999,2,1,12,40.009,3,0,14,14.404,8,1,42,76.412,,4.0,22.411,4.0,22.461,4.0,25.241,3.0,10.957,3.0,29.279,3.0,20.541,4.0,35.03,165.92,,2,2,3,55.028,1,3,2,5,5,4,3,5,5,5,5,5,1,4,16.292,4,8.387,4,11.793,4,7.149,4,8.999,4,21.791,74.411,,0.0,0.0,24.0,71.681,,3.0,0.0,24.0,188.324,,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,12.123,9.31,10.375,9.143,6.795,11.324,8.162,9.791,8.877,110.44,,11/09/2025 12:10:45,19.231,47.619,88.571
RYB1ZLYWE1M9,1,1,0.35294117647058826,1,3,FFFFFF,10,FFFFFF,2,FFFFFF,FFFFFF,FFFFFF,FFFFFF,0,,2,1,17,21.006,3,0,11,15.32,0,3,17,24.125,5,4,45,60.451,,3.0,6.308,4.0,22.982,4.0,7.115,4.0,18.53,4.0,8.462,4.0,9.256,3.0,10.565,83.218,,2,1,1,37.228,1,3,2,5,5,5,5,5,5,5,5,5,1,2,4.568,4,4.8,2,2.0,4,1.6,2,3.9,3,3.516,20.384,,0.0,0.0,24.0,107.309,,2.0,0.0,24.0,146.286,,1.0,5.0,5.0,5.0,5.0,5.0,1.0,5.0,5.0,8.082,4.88,9.385,10.331,6.977,3.947,6.807,9.592,7.293,99.727,,11/09/2025 11:59:25,23.077,38.095,80.0
CBW1MWFYTJ4S,3,1,0.29411764705882354,1,3,FFFFFF,2,FFFFFF,1,FFFFFF,FFFFFF,FFFFFF,FFFFFF,0,,3,0,16,39.015,1,2,13,19.199,2,2,15,22.899,6,4,44,81.113,,3.0,11.05,2.0,10.932,1.0,4.75,1.0,29.216,2.0,11.049,3.0,9.049,1.0,11.666,87.712,,3,2,3,28.215,2,4,1,3,5,5,5,3,3,2,2,3,5,0,2.3,4,2.4,2,2.8,3,3.3,3,2.5,3,2.4,15.7,,2.0,0.0,24.0,81.429,,17.0,0.0,1.0,300.0,12.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,18.233,6.382,8.116,9.999,14.829,14.199,12.932,17.065,13.349,144.026,,11/09/2025 11:51:55,84.615,85.714,28.571
