Código de Acesso,F0101,F0102,F0103,F0104,F0201,Cor0202,F0203,Cor0204,F0205,Cor0206,F0207,Cor0208,Cor0209Outro,L0210 (não likert),F0299 - Explicação Tempo,Q0401,Q0402,Q0403,T0404,Q0405,Q0406,Q0407,T0408,Q0409,Q0410,Q0411,T0412,Q0413,Q0414,Q0415,T0498,T0499 - Explicação Tempo,P01,T01,P02,T02,P03,T03,P05,T05,P09,T09,P12,T12,P15,T15,PTempoTotal,PTempoTotalExpl,QtdComida,QtdPessoas,QtdSom,GameTempoTotal,QtdDormir,QtdHorasDormi,QtdHorasSono,Acordar,F0705,F0706,F0707,F0708,F0709,F0710,F0711,F0712,F0713,F1101,F1102,F1103,F1104,F1105,Tempo1106,F1107,Tempo1108,F1109,Tempo1110,F1111,Tempo1112,TempoTotal11,T1199Expl,Q1201,Q1202,Q1203,T1204,T1205Expl,Q1206,Q1207,Q1208,Q1209,T1210Expl,P04,P08,P10,P12.1,P02.1,P03.1,P07,P09.1,P13,T04,T08,T10,T12.1,T02.1,T03.1,T07,T09.1,T13,TempoTotal,TempoTotalExpl,Data/Hora Último,Target1,Target2,Target3
U0JD20CW4JWD,3,0,0.35294117647058826,1,0,F6B39C,2,FFFFFF,2,FFFFFF,FFFFFF,FFFFFF,FFFFFF,0,,2,3,17,23.5,2,13,12,31.597,13,26,4,44.415,17,42,33,99.512,,3.0,5.25,2.0,20.583,4.0,5.933,3.0,5.833,4.0,3.716,4.0,2.233,3.0,2.5,46.048,,2,0,0,20.966,1,2,2,5,5,5,5,5,5,5,5,5,1,3,5.964,3,4.146,2,2.014,3,3.912,2,1.4,2,1.413,18.849,,2.0,0.0,24.0,95.03,,4.0,0.0,24.0,124.561,,1.0,1.0,1.0,5.0,5.0,1.0,1.0,5.0,1.0,1.267,1.067,1.301,2.883,1.234,1.233,1.266,3.167,1.25,33.799,,11/09/2025 11:51:53,7.692,33.333,71.429
0CIP1GPIT9GT,3,1,0.35294117647058826,2,2,FFFFFF,10,FFFFFF,1,FFFFFF,FFFFFF,FFFFFF,FFFFFF,5,,14,0,5,34.649,12,0,2,26.816,14,0,3,27.965,40,0,10,89.43,,4.0,9.083,3.0,9.7,4.0,3.582,4.0,25.499,4.0,35.565,4.0,5.417,4.0,68.346,157.192,,2,1,1,21.799,2,3,2,1,4,3,4,2,3,1,2,3,1,1,3.65,3,3.231,3,5.018,3,3.05,3,3.496,2,6.249,24.694,,1.0,0.0,24.0,66.263,,1.0,0.0,24.0,106.745,,5.0,5.0,5.0,5.0,5.0,1.0,1.0,5.0,1.0,4.4,5.199,10.716,8.0,9.45,19.615,8.75,12.516,11.767,112.595,,11/09/2025 11:49:39,7.692,28.571,85.714
21NYHLZGMY65,3,1,0.29411764705882354,1,3,FFDD9A,3,7F6021,2,319EB9,8C999C,B1EAF8,D820F6,5,,19,34,0,99.845,10,27,4,0.0,0,0,17,0.0,29,61,21,99.845,0.0,4.0,7.633,4.0,9.866,4.0,14.999,3.0,6.551,4.0,12.832,4.0,11.116,4.0,4.733,67.73,,1,1,1,20.967,2,3,2,4,5,4,5,4,5,3,4,5,2,2,5.1,4,3.3,3,2.639,3,3.8,3,9.1,3,3.2,27.139,,0.0,0.0,24.0,89.463,,0.0,0.0,24.0,171.091,,5.0,5.0,1.0,5.0,5.0,5.0,5.0,5.0,5.0,6.067,4.25,10.032,4.433,5.75,6.033,5.733,5.233,5.483,77.446,,11/09/2025 11:45:24,11.538,4.762,88.571
818GQ1A0LZXY,1,0,0.47058823529411764,0,5,FFFFFF,8,0F0D0D,1,FFFFFF,FFFFFF,FFFFFF,FFFFFF,5,,0,0,19,10.283,0,0,14,5.433,0,0,17,1.7,0,0,50,17.416,,1.0,1.533,3.0,10.233,3.0,13.033,1.0,19.227,2.0,1.182,4.0,15.967,1.0,5.833,67.008,,3,2,3,11.716,2,3,2,5,5,5,5,5,5,5,5,5,1,4,8.3,4,3.8,4,1.0,3,1.8,3,1.5,3,7.4,23.8,,0.0,0.0,24.0,59.214,,4.0,0.0,24.0,109.245,,5.0,5.0,1.0,5.0,5.0,5.0,5.0,1.0,5.0,4.482,3.917,3.35,3.349,3.067,4.566,4.432,3.017,4.765,59.147,,11/09/2025 11:42:48,19.231,57.143,85.714
6K8O0GZD1VNS,3,1,0.29411764705882354,3,4,EEDF7E,10,F5DC47,2,34311E,776700,36CEB5,3648CE,5,,8,0,11,31.565,2,5,12,20.499,5,0,12,23.049,15,5,35,75.113,,4.0,12.733,3.0,16.682,3.0,18.416,4.0,17.349,4.0,4.5,4.0,6.45,4.0,5.999,82.129,,1,1,1,21.049,1,3,2,5,5,3,5,5,5,5,3,2,1,3,4.1,4,1.0,3,1.6,4,0.8,4,3.8,4,2.3,13.6,,,,,,,,,,,,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,3.733,3.916,8.583,6.066,3.899,5.365,5.949,5.983,5.983,70.562,,11/09/2025 11:36:58,11.538,23.81,68.571
WAKJTTT9MQBH,0,1,0.35294117647058826,2,2,EEE497,7,000000,0,FFFFFF,000000,1412EB,070000,0,,2,1,17,17.294,1,2,13,11.009,2,1,15,10.199,5,4,45,38.502,,2.0,3.733,1.0,10.012,2.0,5.716,1.0,6.243,2.0,32.323,3.0,42.825,1.0,3.348,104.2,,1,1,1,54.941,1,4,2,4,1,1,2,3,3,3,3,1,2,1,6.451,2,9.804,2,3.671,2,2.996,1,14.193,2,2.294,39.409,,0.0,0.0,24.0,85.244,,0.0,0.0,24.0,237.793,,1.0,5.0,5.0,5.0,1.0,1.0,1.0,5.0,1.0,3.683,3.65,2.899,3.214,3.684,4.102,4.68,5.798,4.18,59.961,,11/09/2025 11:32:18,46.154,57.143,68.571
1QEYNUL90SWJ,1,0,0.35294117647058826,2,5,FFFFFF,11,FFFFFF,2,FFFFFF,FFFFFF,FFFFFF,FFFFFF,5,,6,7,13,39.256,2,1,12,9.133,0,3,17,10.649,8,11,42,59.038,,4.0,0.983,1.0,1.933,3.0,1.734,1.0,12.132,3.0,2.434,1.0,5.433,3.0,1.407,26.056,,3,2,3,46.882,2,1,2,5,5,5,5,5,5,5,5,3,1,4,2.333,4,2.715,4,1.682,4,2.217,4,0.116,4,0.066,9.129,,0.0,0.0,24.0,118.494,,0.0,0.0,24.0,208.401,,1.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1.0,46.732,33.024,15.532,7.067,4.3,11.267,19.441,6.783,3.966,171.816,,11/09/2025 11:32:07,19.231,52.381,85.714
9L9UE1GJH892,1,0,0.35294117647058826,1,0,FFFFFF,8,FFFFFF,2,FFFFFF,FFFFFF,FFFFFF,FFFFFF,5,,19,34,0,63.561,0,2,14,6.641,0,0,17,2.648,19,36,31,72.85,,2.0,20.78,2.0,17.716,2.0,5.092,2.0,20.901,2.0,6.325,2.0,3.813,2.0,6.68,81.307,,2,1,3,34.762,1,2,2,1,1,1,5,5,1,5,5,1,3,1,5.5,1,3.7,2,2.7,0,11.2,1,4.6,2,3.2,30.9,,1.0,0.0,24.0,91.748,,7.0,0.0,24.0,154.977,,5.0,1.0,1.0,1.0,1.0,5.0,1.0,1.0,5.0,14.889,8.932,17.725,7.945,12.305,13.94,15.009,9.1,9.246,133.076,,11/09/2025 11:21:43,26.923,90.476,62.857
A1RW3K8WELBF,1,2,0.4117647058823529,0,0,FFFFFF,0,FFFFFF,0,FFFFFF,FFFFFF,FFFFFF,FFFFFF,0,,1,2,18,29.233,0,0,14,7.465,0,0,17,2.983,1,2,49,39.681,,3.0,18.083,4.0,3.184,4.0,7.382,4.0,56.364,4.0,4.25,2.0,2.517,1.0,42.764,134.544,,3,2,1,56.049,2,3,2,5,5,1,5,5,5,5,5,5,5,0,5.988,4,3.744,4,1.088,3,1.643,4,3.244,3,3.415,19.122,,0.0,0.0,24.0,60.313,,2.0,0.0,24.0,121.544,,1.0,5.0,1.0,5.0,5.0,1.0,1.0,5.0,5.0,19.565,1.916,1.866,23.199,2.601,1.9,2.117,4.9,1.767,87.43,,11/09/2025 11:17:34,15.385,23.81,85.714
YXFFE1R96XUN,0,1,0.29411764705882354,2,0,F0F0AB,10,FFFFFF,0,FFFFFF,FFFFFF,3154D1,D131CD,5,,3,0,16,14.383,3,0,11,9.866,3,0,14,9.216,9,0,41,33.465,,-1.0,-1.0,3.0,217.923,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,211.923,10.0,1,1,1,26.015,2,1,2,5,4,5,4,4,5,5,4,5,1,4,7.622,4,1.65,4,2.265,3,2.064,3,3.763,3,7.58,24.944,,0.0,0.0,24.0,105.561,,6.0,0.0,23.0,300.0,10.0,5.0,5.0,-1.0,-1.0,5.0,-1.0,-1.0,-1.0,5.0,49.781,27.498,-1.0,-1.0,28.716,-1.0,-1.0,-1.0,48.464,180.0,10.0,11/09/2025 11:16:52,11.538,14.286,74.286
3SIQEES5L519,1,0,0.4117647058823529,2,3,E5D29D,3,645C86,1,695AA3,B59A51,44423D,AB4848,7,,1,2,18,26.449,0,3,14,29.933,1,2,16,27.682,2,7,48,84.064,,2.0,11.716,2.0,12.3,2.0,3.917,2.0,70.88,2.0,6.6,2.0,9.483,2.0,6.267,121.163,,1,1,1,17.633,1,4,2,3,2,3,3,1,2,3,2,2,3,1,5.429,1,7.762,2,16.539,2,4.828,0,2.748,1,8.63,45.936,,0.0,0.0,24.0,48.163,,3.0,0.0,24.0,85.597,,1.0,1.0,5.0,1.0,1.0,1.0,1.0,5.0,5.0,4.35,5.383,6.167,4.866,4.532,4.55,4.366,8.617,3.384,70.746,,11/09/2025 11:15:38,46.7,52.4,40.5
MHFGSCZ3AUST,3,1,0.35294117647058826,4,4,FFFFFF,10,FFFFFF,2,FFFFFF,FFFFFF,FFFFFF,FFFFFF,0,,0,3,19,32.099,3,0,11,12.224,3,1,14,20.0,6,4,44,64.323,,2.0,6.425,2.0,15.195,2.0,5.631,2.0,29.158,3.0,22.173,4.0,20.926,1.0,7.989,107.497,,2,0,1,25.043,3,1,3,3,4,2,1,2,3,3,3,2,4,1,4.8,2,3.0,2,2.6,0,5.6,1,9.579,2,11.9,37.479,,0.0,0.0,24.0,62.078,,0.0,0.0,24.0,132.973,,5.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.679,11.155,8.553,4.643,16.562,6.011,2.983,25.131,7.235,115.117,,11/09/2025 11:11:34,46.154,57.143,51.429
T73DEK6YHNUH,3,1,0.4117647058823529,0,0,FFFFFF,10,DD6EDC,0,FFFFFF,FFFFFF,831BAC,F092EF,0,,2,2,17,55.464,0,1,14,7.85,3,0,14,13.85,5,3,45,77.164,,2.0,14.234,1.0,6.599,2.0,7.283,2.0,22.565,3.0,16.933,2.0,3.833,1.0,9.083,80.53,,2,1,1,17.349,2,3,3,1,3,1,2,3,2,3,3,1,5,1,5.899,0,7.049,1,4.233,1,3.216,2,2.464,1,2.033,24.894,,0.0,0.0,24.0,78.23,,1.0,0.0,24.0,126.978,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.633,5.516,5.716,5.783,5.883,6.117,7.517,8.116,6.9,80.146,,11/09/2025 11:05:56,30.769,57.143,68.571
8ZZ2NM1K2TAZ,1,0,0.35294117647058826,2,3,FFFFFF,5,FFFFFF,2,FFFFFF,FFFFFF,FFFFFF,FFFFFF,0,,3,3,16,21.199,3,0,11,6.25,3,0,14,6.35,9,3,41,33.799,,4.0,6.149,3.0,8.367,4.0,5.166,3.0,18.898,4.0,2.734,4.0,9.3,3.0,5.316,55.93,,1,2,1,18.616,2,2,2,4,5,4,5,5,5,5,4,5,2,4,23.933,4,11.033,3,6.266,3,5.266,4,5.816,3,7.567,59.881,,0.0,0.0,24.0,45.632,,1.0,0.0,24.0,99.205,,5.0,5.0,5.0,5.0,5.0,5.0,1.0,5.0,5.0,4.333,3.901,4.734,5.199,3.967,3.75,9.516,9.917,4.934,71.696,,11/09/2025 11:00:54,19.231,80.952,54.286
JSL2R9Z9BJ62,2,1,0.29411764705882354,1,0,EBC882,13,392600,0,FFFFFF,FFFFFF,222222,FE79FE,5,,1,2,18,22.632,0,2,14,16.266,0,1,17,4.667,1,5,49,43.565,,3.0,4.283,4.0,27.548,3.0,172.125,-1.0,-1.0,-1.0,-1.0,4.0,55.815,2.0,6.649,264.42,0.0,2,1,3,29.864,2,3,2,3,4,3,5,4,4,3,4,4,1,3,6.8,4,4.0,2,9.1,3,3.1,4,3.6,3,1.9,28.5,,0.0,0.0,24.0,84.429,,0.0,0.0,24.0,149.077,,5.0,5.0,5.0,1.0,5.0,1.0,5.0,5.0,5.0,8.182,6.516,5.915,11.066,12.533,16.8,5.766,15.749,6.617,118.644,,11/09/2025 10:59:46,3.846,28.571,88.571
X6VXOXPOAZ3G,3,1,0.29411764705882354,1,2,FFFFFF,3,FFFFFF,2,FFFFFF,FFFFFF,FFFFFF,FFFFFF,0,,2,4,17,74.438,0,4,14,38.749,1,1,16,12.366,3,9,47,125.553,,1.0,7.065,1.0,23.117,3.0,8.716,2.0,28.283,2.0,4.649,3.0,8.483,1.0,6.483,86.796,,0,0,1,16.483,1,4,2,3,1,3,2,2,2,3,2,3,4,0,7.981,1,1.315,1,3.711,1,6.631,1,4.016,2,6.98,30.634,,0.0,0.0,24.0,247.939,,8.0,0.0,8.0,300.0,12.0,1.0,5.0,5.0,1.0,5.0,1.0,1.0,1.0,1.0,9.85,7.2,6.836,6.733,8.199,9.3,11.468,3.9,5.917,115.794,,11/09/2025 10:52:48,53.846,61.905,48.571
CCBR2QIEWXTT,1,1,0.29411764705882354,2,0,FFFFFF,10,3C1301,1,FFFFFF,020304,074588,F00CE9,0,,7,8,12,82.23,1,11,13,44.165,4,4,13,0.0,12,23,38,126.395,0.0,4.0,10.782,4.0,20.399,4.0,18.166,4.0,6.717,4.0,14.566,4.0,13.599,-1.0,-1.0,83.229,0.0,2,2,2,39.598,2,3,2,5,5,5,5,5,5,5,5,5,1,4,8.4,4,6.3,4,4.2,4,5.4,4,21.3,4,3.8,49.4,,0.0,0.0,24.0,76.679,,2.0,0.0,24.0,140.461,,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.916,4.882,8.849,5.416,8.881,6.55,5.866,6.049,6.25,79.877,,11/09/2025 10:52:34,0.0,4.762,85.714
HI64ZQCA4U7L,3,1,0.29411764705882354,3,4,FFFFFF,10,FFFFFF,2,FFFFFF,FFFFFF,FFFFFF,FFFFFF,5,,3,0,16,15.466,3,0,11,9.367,3,0,14,12.282,9,0,41,37.115,,4.0,18.633,4.0,22.066,4.0,9.05,4.0,8.999,3.0,22.083,4.0,1.533,4.0,7.349,89.713,,2,1,3,36.58,2,3,2,5,5,5,5,5,5,5,5,5,1,3,7.1,4,6.032,2,6.5,4,5.6,3,7.0,3,9.0,41.232,,0.0,0.0,24.0,62.481,,8.0,0.0,24.0,187.591,,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.4,3.183,8.366,5.432,4.184,5.016,6.384,6.482,5.833,76.514,,11/09/2025 10:50:41,11.538,9.524,85.714
WKHRFIXANWM7,3,3,0.4117647058823529,0,3,FFFFFF,5,FFFFFF,1,FFFFFF,FFFFFF,FFFFFF,FFFFFF,5,,0,0,19,15.699,0,1,14,18.232,0,2,17,6.683,0,3,50,40.614,,4.0,29.466,3.0,54.78,3.0,12.233,4.0,66.297,3.0,32.215,4.0,23.199,3.0,19.565,237.755,,2,1,1,50.498,2,3,2,5,5,5,5,5,5,5,5,5,1,4,8.949,4,3.182,4,0.867,3,9.166,4,2.167,4,1.933,26.264,,5.0,0.0,24.0,150.108,,21.0,0.0,0.0,300.0,10.0,,,,,,,,,,,,,,,,,,,,,05/09/2025 12:16:10,0.0,28.6,95.2
Q9GH4MS56JTH,5,1,0.35294117647058826,1,0,FDEAED,10,FFFFFF,1,FFFFFF,EBA3EE,CB5DD0,E719F0,0,,3,1,16,15.199,2,1,12,11.882,2,1,15,17.933,7,3,43,45.014,,4.0,2.949,2.0,3.617,4.0,1.65,3.0,6.916,4.0,10.216,4.0,12.282,4.0,31.748,69.378,,2,1,2,36.765,2,3,2,4,1,1,5,5,5,5,5,2,1,4,6.266,3,6.565,4,2.649,3,1.034,3,1.151,4,1.766,19.431,,,,,,,,,,,,5.0,1.0,5.0,1.0,5.0,1.0,5.0,5.0,1.0,7.317,12.232,10.266,9.583,9.032,13.933,11.183,27.481,6.384,134.823,,05/09/2025 12:16:00,23.3,9.5,78.6
B0CUE7TLVWFB,3,1,0.4117647058823529,3,4,FFDD94,3,5B3E00,1,FFFFFF,000000,467174,746646,2,,12,15,7,59.115,4,3,10,25.467,0,0,17,1.4,16,18,34,85.982,,2.0,12.882,3.0,22.967,1.0,7.234,4.0,6.516,3.0,18.066,4.0,6.849,1.0,8.868,83.382,,3,2,3,27.515,2,1,2,5,2,3,2,3,5,4,4,3,1,3,6.6,4,2.8,3,4.4,2,8.4,3,6.1,2,7.7,36.0,,2.0,0.0,24.0,53.532,,4.0,0.0,24.0,201.443,,5.0,5.0,5.0,5.0,1.0,1.0,1.0,5.0,5.0,11.033,5.117,6.65,7.733,6.099,8.683,8.8,5.95,6.498,93.647,,05/09/2025 12:11:59,26.923,76.19,77.143
AXB8ABFO9R4A,4,0,0.4117647058823529,3,4,FFFFFF,11,FFFFFF,2,FFFFFF,FFFFFF,FFFFFF,FFFFFF,1,,2,2,17,23.882,1,2,13,15.416,3,0,14,14.099,6,4,44,53.397,,4.0,0.9,2.0,10.367,4.0,2.816,4.0,17.882,4.0,12.249,2.0,3.583,4.0,4.784,52.581,,1,1,3,19.3,1,3,2,5,5,4,5,5,5,5,5,5,1,4,17.809,4,3.647,4,1.699,4,5.646,4,4.159,4,1.079,34.039,,2.0,0.0,24.0,185.061,,5.0,0.0,24.0,255.186,,1.0,5.0,1.0,5.0,5.0,5.0,5.0,5.0,5.0,1.733,3.783,8.267,6.049,2.8,6.399,5.499,8.866,4.949,70.996,,05/09/2025 12:11:55,6.7,47.6,85.7
E9HHDM587MYT,1,0,0.4117647058823529,2,3,FFFFFF,14,FFFFFF,2,FFFFFF,FFFFFF,FFFFFF,FFFFFF,6,,1,0,18,14.832,1,0,13,3.667,1,0,16,3.8,3,0,47,22.299,,3.0,4.883,2.0,5.75,3.0,2.75,4.0,8.25,3.0,7.649,3.0,5.9,4.0,14.082,49.264,,2,0,1,10.349,1,1,3,4,2,5,3,3,5,3,3,5,3,2,3.532,2,3.498,2,1.615,3,1.547,1,4.497,3,5.632,20.321,,0.0,0.0,24.0,68.456,,11.0,0.0,24.0,142.592,,5.0,5.0,1.0,5.0,1.0,5.0,1.0,5.0,5.0,3.467,3.417,5.6,8.066,3.666,3.217,3.4,4.466,3.167,58.664,,05/09/2025 12:07:38,30.769,33.333,51.429
P8RJRSFO03YB,4,1,0.4117647058823529,2,2,FFFFFF,6,FFFFFF,2,FFFFFF,FFFFFF,FFFFFF,FFFFFF,0,,3,0,16,12.933,3,0,11,14.066,2,1,15,14.398,8,1,42,41.397,,4.0,11.915,1.0,38.764,2.0,30.148,2.0,19.799,1.0,10.9,2.0,15.933,1.0,21.232,148.691,,2,1,2,34.465,1,1,2,2,1,3,5,3,1,4,3,1,3,3,12.483,2,5.333,1,7.499,1,35.096,2,7.349,2,7.349,75.109,,1.0,0.0,24.0,59.563,,0.0,0.0,24.0,110.827,,5.0,5.0,1.0,1.0,5.0,5.0,1.0,5.0,1.0,8.716,53.713,18.281,6.816,9.416,14.216,15.148,9.683,10.515,173.406,,05/09/2025 12:06:33,61.538,80.952,17.143
SYZ34BO5B1CS,3,1,0.35294117647058826,4,3,E8D393,10,FFFFFF,2,FFFFFF,FFFFFF,FFFFFF,FFFFFF,5,,19,27,0,103.349,5,3,9,12.199,2,0,15,4.0,26,30,24,119.548,,4.0,0.951,2.0,2.816,1.0,10.9,4.0,3.083,4.0,1.85,2.0,6.568,2.0,21.615,47.783,,1,0,1,35.784,1,3,2,3,5,3,5,3,2,3,4,1,3,1,6.3,2,2.6,1,1.3,2,1.9,2,1.4,1,4.5,18.0,,,,,,,,,,,,1.0,5.0,5.0,1.0,1.0,5.0,1.0,5.0,5.0,9.683,5.432,4.666,4.467,3.666,4.8,10.801,4.95,12.166,85.147,,05/09/2025 11:53:35,46.7,71.4,71.4
H67BOXKYP58U,3,1,0.35294117647058826,3,2,B66B39,13,FFFFFF,1,FFFFFF,FFFFFF,FFFFFF,FFFFFF,5,,17,1,2,95.345,11,0,3,0.0,0,0,17,0.0,28,1,22,95.345,2.0,2.0,11.882,3.0,27.549,3.0,21.833,2.0,28.232,3.0,26.032,4.0,20.582,3.0,22.749,158.859,,2,2,2,57.613,2,2,2,4,5,3,4,4,4,4,3,4,1,2,13.2,1,5.0,1,3.7,2,1.8,2,2.9,2,3.6,30.2,,0.0,0.0,24.0,55.864,,0.0,0.0,24.0,142.126,,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,10.349,15.316,20.232,17.917,10.8,16.449,8.131,20.55,11.233,152.409,,05/09/2025 11:43:25,30.769,52.381,60.0
MQUVFBYLSAMY,1,0,0.35294117647058826,5,7,FFFFFF,8,FFFFFF,2,FFFFFF,FFFFFF,FFFFFF,FFFFFF,0,,3,0,16,8.784,3,0,11,6.883,3,0,14,7.183,9,0,41,22.85,,2.0,39.21,3.0,24.766,2.0,11.049,3.0,28.146,3.0,30.316,4.0,5.35,4.0,55.545,194.382,,2,0,1,52.598,1,2,2,5,2,3,3,2,4,3,3,3,2,2,7.9,2,6.7,2,14.4,1,4.7,2,10.9,2,5.9,50.5,,2.0,0.0,24.0,74.245,,2.0,0.0,24.0,112.608,,5.0,5.0,5.0,5.0,1.0,5.0,1.0,5.0,1.0,22.398,6.7,17.547,14.299,9.582,15.483,16.516,28.949,4.366,160.689,,05/09/2025 11:37:33,19.231,19.048,42.857
9S9PVIW9GPRC,3,1,0.4117647058823529,3,2,FFFFFF,3,0806F5,1,FFFFFF,0E0E11,1F1F11,E1E812,0,,3,0,16,11.417,3,0,11,9.616,3,0,14,7.466,9,0,41,28.499,,2.0,5.1,3.0,18.849,2.0,25.765,2.0,21.116,2.0,6.083,1.0,7.683,2.0,7.733,92.329,,1,0,0,21.599,1,1,2,1,3,1,1,2,1,2,2,4,3,0,6.414,1,4.584,1,5.596,0,4.1,1,2.066,0,4.416,27.176,,0.0,0.0,24.0,63.98,,0.0,0.0,24.0,95.412,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,8.75,4.767,6.7,6.716,19.916,6.384,7.733,7.2,5.283,102.928,,05/09/2025 11:29:20,73.077,85.714,54.286
O6GKEG2RRM3F,3,0,0.35294117647058826,3,3,3E3200,5,FFFFFF,1,FFFFFF,FFFFFF,FFFFFF,FFFFFF,2,,3,2,16,21.783,3,0,11,14.465,3,0,14,10.25,9,2,41,46.498,,3.0,2.967,2.0,2.267,2.0,17.199,3.0,12.199,2.0,4.733,2.0,4.883,4.0,3.633,47.881,,3,1,1,21.599,1,4,2,1,2,4,3,2,3,3,2,3,3,3,6.448,1,4.781,1,4.249,2,2.349,1,2.117,0,5.215,25.159,,1.0,0.0,24.0,69.447,,5.0,0.0,24.0,144.526,,1.0,1.0,1.0,5.0,1.0,5.0,1.0,5.0,1.0,3.25,68.298,3.617,5.617,3.883,20.833,1.517,9.75,3.017,146.21,,05/09/2025 11:28:42,38.462,61.905,54.286
UUDQQ40GWVHV,1,0,0.4117647058823529,4,4,FFFFFF,11,FFFFFF,0,FFFFFF,FFFFFF,FFFFFF,FFFFFF,1,,8,2,11,28.766,3,1,11,12.267,6,4,11,21.299,17,7,33,62.332,,3.0,11.316,3.0,17.566,2.0,5.066,4.0,11.583,2.0,13.384,3.0,7.699,1.0,43.933,110.547,,2,1,1,21.734,3,4,2,3,2,1,1,1,2,3,3,3,3,1,8.629,1,3.264,1,3.097,2,6.381,3,6.897,2,6.974,35.242,,0.0,0.0,24.0,55.182,,2.0,0.0,24.0,158.994,,1.0,1.0,1.0,5.0,1.0,1.0,1.0,1.0,1.0,5.485,7.783,6.35,5.416,6.416,6.533,12.217,8.101,8.4,99.014,,05/09/2025 11:18:28,53.846,71.429,25.714
7INUYE5U1SGW,3,0,0.35294117647058826,1,2,FFFFFF,11,FFFFFF,2,FFFFFF,FFFFFF,FFFFFF,FFFFFF,5,,0,0,19,9.386,0,0,14,1.067,0,0,17,0.766,0,0,50,11.219,,3.0,2.399,3.0,24.136,4.0,20.299,4.0,14.65,4.0,34.818,4.0,1.95,3.0,5.033,103.285,,2,2,1,15.867,1,3,2,1,3,5,5,5,5,5,5,5,1,4,2.4,4,3.7,4,1.3,3,4.8,3,3.0,4,0.8,16.0,,1.0,0.0,24.0,89.598,,18.0,0.0,24.0,178.099,,5.0,5.0,5.0,1.0,5.0,5.0,5.0,5.0,1.0,4.65,7.516,6.5,5.05,11.933,8.199,8.6,13.283,5.6,101.251,,05/09/2025 11:18:23,19.231,4.762,85.714
2KDMRCQSLCGP,1,0,0.35294117647058826,2,4,FFFFFF,2,FFFFFF,2,FFFFFF,FFFFFF,FFFFFF,FFFFFF,5,,3,0,16,32.516,2,2,12,14.88,3,0,14,11.332,8,2,42,58.728,,4.0,2.366,4.0,1.684,2.0,2.349,4.0,19.829,4.0,13.866,3.0,4.118,4.0,11.398,55.61,,2,1,1,20.562,1,3,2,4,5,5,4,5,5,5,5,5,1,4,3.3,3,3.7,4,1.4,3,1.7,4,1.3,3,1.1,12.5,,0.0,0.0,24.0,54.131,,13.0,0.0,24.0,151.868,,5.0,5.0,1.0,5.0,5.0,5.0,5.0,5.0,5.0,7.116,6.317,6.65,5.4,4.016,3.05,7.864,4.883,4.333,72.777,,05/09/2025 11:09:12,0.0,0.0,68.571
I3TAO64HVFP7,3,0,0.4117647058823529,4,7,FFFFFF,8,FFFFFF,2,FFFFFF,FFFFFF,FFFFFF,FFFFFF,5,,16,0,3,45.515,12,0,2,31.932,14,0,3,57.614,42,0,8,135.061,,2.0,3.117,1.0,11.649,2.0,31.081,2.0,11.666,1.0,13.166,1.0,7.699,2.0,9.283,87.661,,1,0,1,19.316,1,2,2,3,4,1,2,3,2,3,2,4,3,3,3.679,2,5.062,0,3.977,2,4.482,3,7.928,0,9.669,34.797,,2.0,0.0,24.0,52.096,,2.0,0.0,24.0,143.993,,1.0,5.0,1.0,1.0,1.0,5.0,1.0,1.0,5.0,7.5,10.916,16.183,11.617,9.232,14.866,9.78,10.233,7.866,125.344,,05/09/2025 11:07:15,50.0,76.19,51.429
49G3FWL0QVZR,1,0,0.4117647058823529,4,5,FFFFFF,11,FFFFFF,2,FFFFFF,FFFFFF,FFFFFF,FFFFFF,5,,1,1,18,19.799,0,0,14,13.383,0,0,17,3.166,1,1,49,36.348,,3.0,20.232,3.0,13.703,4.0,18.55,4.0,18.266,4.0,3.433,3.0,5.467,4.0,11.199,90.85,,2,2,3,17.3,1,3,2,5,5,5,5,5,5,5,5,5,1,2,1.4,1,2.1,4,7.1,3,3.6,3,4.3,3,1.8,20.3,,0.0,0.0,24.0,73.487,,22.0,0.0,24.0,212.2,,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,6.633,3.117,13.598,4.3,7.367,9.887,60.32,16.9,20.954,173.405,,05/09/2025 11:05:24,11.538,19.048,57.143
