Target1,Target2,Target3
55.526463333333496,77.45244000000001,33.738617500000004
19.545734999999976,31.440557500000082,82.61314999999995
42.14905833333324,45.00001999999999,56.58451249999999
19.559921666666664,45.820852499999994,65.48573999999999
26.96125999999986,55.51130250000002,84.85605249999999
23.787618333333246,43.79769499999995,50.835672499999994
7.980599999999938,31.047827500000007,67.67866750000002
48.31590666666682,66.7500025,53.8893625
37.87180666666666,39.73835500000003,51.521409999999996
11.268928333333276,12.761889999999992,84.53428499999997
41.227191666666855,47.71424249999998,69.793255
56.234388333333506,74.63109500000006,36.575885
23.62275666666655,39.70240749999999,59.02250999999999
21.187801666666708,38.64263249999995,64.1784125
53.618063333333474,68.90452000000005,51.00086750000001
69.23714833333334,62.32092749999996,50.820510000000006
27.551293333333305,43.40471749999997,56.986950000000014
50.017106666666756,56.155087500000036,47.084500000000006
38.67402666666672,35.38094250000005,62.428237500000016
37.98911999999996,49.10702749999999,41.94394750000001
22.938113333333344,30.952429999999982,72.58803999999999
17.878124999999926,21.618557499999998,80.35995749999995
63.85798333333343,62.27392500000013,34.6393325
45.92305833333342,55.10766250000007,47.744434999999996
12.794714999999982,23.28563249999999,86.73578499999998
46.34696166666678,63.03571750000011,35.125592499999996
29.224373333333304,35.61909250000005,67.652445
62.620721666666746,55.27312000000007,48.1902025
75.730675,81.3332150000001,33.397845
26.269348333333205,23.606672500000013,80.45275249999997
18.47414166666663,25.285525000000003,76.92814749999994
26.019976666666654,32.82098000000001,79.18933249999995
26.08121499999992,29.713772500000015,78.95699499999995
48.94676333333349,65.89285750000003,48.03084999999997
31.81416666666679,46.92836999999996,59.08579000000002
