Código de Acesso,F0101,F0102,F0103,F0104,F0201,Cor0202,F0203,Cor0204,F0205,Cor0206,F0207,Cor0208,Cor0209Outro,L0210 (não likert),Q0401,Q0402,Q0403,T0404,Q0405,Q0406,Q0407,T0408,Q0409,Q0410,Q0411,T0412,Q0413,Q0414,Q0415,T0498,P01,T01,P02,T02,P03,T03,P05,T05,P09,T09,P12,T12,P15,T15,PTempoTotal,PTempoTotalExpl,QtdComida,QtdPessoas,QtdSom,GameTempoTotal,QtdDormir,QtdHorasDormi,QtdHorasSono,Acordar,F0705,F0706,F0707,F0708,F0709,F0710,F0711,F0712,F0713,F1101,F1102,F1103,F1104,F1105,Tempo1106,F1107,Tempo1108,F1109,Tempo1110,F1111,Tempo1112,TempoTotal11,T1199Expl,Q1201,Q1202,Q1203,T1204,T1205Expl,Q1206,Q1207,Q1208,Q1209,T1210Expl,P04,P08,P10,P12.1,P02.1,P03.1,P07,P09.1,P13,T04,T08,T10,T12.1,T02.1,T03.1,T07,T09.1,T13,TempoTotal,Data/Hora Último,Target1,Target2,Target3,cluster,Target1_Previsto,Target2_Previsto,Target3_Previsto
2U313TK7XGFP,1,0,0.41176470588235,3,5,FFE8A1,8,FFFFFF,1,FFFFFF,D17410,2010D1,FFFFFF,5,3.0,0.0,16.0,15.649,3.0,0.0,11.0,6.9,3.0,0.0,14.0,10.183,9,0,41,32.732,4.0,24.783,4.0,15.133,4,7.116,4.0,5.868,3.0,30.298,3,12.315,2.0,12.2,107.713,1.0,2.0,1.0,3.0,57.281,2,1,2,5,5,4,5,5,5,5,5,5,1,3.0,8.751,4.0,2.747,2.0,3.5,4.0,12.933,4.0,7.683,2.0,17.197,52.811,0.0,0.0,0.0,24.0,120.36,0.0,6.0,0.0,24.0,235.139,5.5,5.0,5.0,5.0,5.0,5.0,5.0,1.0,5.0,5.0,30.582,4.448,6.816,14.985,7.951,7.4,12.682,6.034,5.65,122.395,11/09/2025 12:15:02,42.308,52.381,51.429,2,35.23411729453614,49.19074010594584,58.1471277122902
ICWB0ZQ1I0GA,1,0,0.35294117647059,2,2,FFFFFF,8,FFFFFF,2,FFFFFF,FFFFFF,FFFFFF,FFFFFF,5,3.0,0.0,16.0,21.999,2.0,1.0,12.0,40.009,3.0,0.0,14.0,14.404,8,1,42,76.412,4.0,22.411,4.0,22.461,4,25.241,3.0,10.957,3.0,29.279,3,20.541,4.0,35.03,165.92,1.0,2.0,2.0,3.0,55.028,1,3,2,5,5,4,3,5,5,5,5,5,1,4.0,16.292,4.0,8.387,4.0,11.793,4.0,7.149,4.0,8.999,4.0,21.791,74.411,0.0,0.0,0.0,24.0,71.681,0.0,3.0,0.0,24.0,188.324,5.5,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,12.123,9.31,10.375,9.143,6.795,11.324,8.162,9.791,8.877,110.44,11/09/2025 12:10:45,19.231,47.619,88.571,2,23.392095721012396,49.51043449599005,87.93758426622347
RYB1ZLYWE1M9,1,1,0.35294117647059,1,3,FFFFFF,10,FFFFFF,2,FFFFFF,FFFFFF,FFFFFF,FFFFFF,0,2.0,1.0,17.0,21.006,3.0,0.0,11.0,15.32,0.0,3.0,17.0,24.125,5,4,45,60.451,3.0,6.308,4.0,22.982,4,7.115,4.0,18.53,4.0,8.462,4,9.256,3.0,10.565,83.218,1.0,2.0,1.0,1.0,37.228,1,3,2,5,5,5,5,5,5,5,5,5,1,2.0,4.568,4.0,4.8,2.0,2.0,4.0,1.6,2.0,3.9,3.0,3.516,20.384,0.0,0.0,0.0,24.0,107.309,0.0,2.0,0.0,24.0,146.286,5.5,1.0,5.0,5.0,5.0,5.0,5.0,1.0,5.0,5.0,8.082,4.88,9.385,10.331,6.977,3.947,6.807,9.592,7.293,99.727,11/09/2025 11:59:25,23.077,38.095,80.0,2,24.669363190562546,38.88386546504487,81.12252565608934
CBW1MWFYTJ4S,3,1,0.29411764705882,1,3,FFFFFF,2,FFFFFF,1,FFFFFF,FFFFFF,FFFFFF,FFFFFF,0,3.0,0.0,16.0,39.015,1.0,2.0,13.0,19.199,2.0,2.0,15.0,22.899,6,4,44,81.113,3.0,11.05,2.0,10.932,1,4.75,1.0,29.216,2.0,11.049,3,9.049,1.0,11.666,87.712,1.0,3.0,2.0,3.0,28.215,2,4,1,3,5,5,5,3,3,2,2,3,5,0.0,2.3,4.0,2.4,2.0,2.8,3.0,3.3,3.0,2.5,3.0,2.4,15.7,0.0,2.0,0.0,24.0,81.429,0.0,17.0,0.0,1.0,300.0,12.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,18.233,6.382,8.116,9.999,14.829,14.199,12.932,17.065,13.349,144.026,11/09/2025 11:51:55,84.615,85.714,28.571,1,77.24516923946152,81.04947553881478,33.787942312862945
U0JD20CW4JWD,3,0,0.35294117647059,1,0,F6B39C,2,FFFFFF,2,FFFFFF,FFFFFF,FFFFFF,FFFFFF,0,2.0,3.0,17.0,23.5,2.0,13.0,12.0,31.597,13.0,26.0,4.0,44.415,17,42,33,99.512,3.0,5.25,2.0,20.583,4,5.933,3.0,5.833,4.0,3.716,4,2.233,3.0,2.5,46.048,1.0,2.0,0.0,0.0,20.966,1,2,2,5,5,5,5,5,5,5,5,5,1,3.0,5.964,3.0,4.146,2.0,2.014,3.0,3.912,2.0,1.4,2.0,1.413,18.849,0.0,2.0,0.0,24.0,95.03,0.0,4.0,0.0,24.0,124.561,5.5,1.0,1.0,1.0,5.0,5.0,1.0,1.0,5.0,1.0,1.267,1.067,1.301,2.883,1.234,1.233,1.266,3.167,1.25,33.799,11/09/2025 11:51:53,7.692,33.333,71.429,0,12.353379283361097,35.21867624953972,73.31672770323237
0CIP1GPIT9GT,3,1,0.35294117647059,2,2,FFFFFF,10,FFFFFF,1,FFFFFF,FFFFFF,FFFFFF,FFFFFF,5,14.0,0.0,5.0,34.649,12.0,0.0,2.0,26.816,14.0,0.0,3.0,27.965,40,0,10,89.43,4.0,9.083,3.0,9.7,4,3.582,4.0,25.499,4.0,35.565,4,5.417,4.0,68.346,157.192,1.0,2.0,1.0,1.0,21.799,2,3,2,1,4,3,4,2,3,1,2,3,1,1.0,3.65,3.0,3.231,3.0,5.018,3.0,3.05,3.0,3.496,2.0,6.249,24.694,0.0,1.0,0.0,24.0,66.263,0.0,1.0,0.0,24.0,106.745,5.5,5.0,5.0,5.0,5.0,5.0,1.0,1.0,5.0,1.0,4.4,5.199,10.716,8.0,9.45,19.615,8.75,12.516,11.767,112.595,11/09/2025 11:49:39,7.692,28.571,85.714,0,14.475786673203704,30.54893448335385,81.98869739688452
21NYHLZGMY65,3,1,0.29411764705882,1,3,FFDD9A,3,7F6021,2,319EB9,8C999C,B1EAF8,D820F6,5,19.0,34.0,0.0,99.845,10.0,27.0,4.0,0.0,0.0,0.0,17.0,0.0,29,61,21,99.845,4.0,7.633,4.0,9.866,4,14.999,3.0,6.551,4.0,12.832,4,11.116,4.0,4.733,67.73,1.0,1.0,1.0,1.0,20.967,2,3,2,4,5,4,5,4,5,3,4,5,2,2.0,5.1,4.0,3.3,3.0,2.639,3.0,3.8,3.0,9.1,3.0,3.2,27.139,0.0,0.0,0.0,24.0,89.463,0.0,0.0,0.0,24.0,171.091,5.5,5.0,5.0,1.0,5.0,5.0,5.0,5.0,5.0,5.0,6.067,4.25,10.032,4.433,5.75,6.033,5.733,5.233,5.483,77.446,11/09/2025 11:45:24,11.538,4.762,88.571,0,16.041314768684845,11.275828136344979,85.024556420481
818GQ1A0LZXY,1,0,0.47058823529412,0,5,FFFFFF,8,0F0D0D,1,FFFFFF,FFFFFF,FFFFFF,FFFFFF,5,0.0,0.0,19.0,10.283,0.0,0.0,14.0,5.433,0.0,0.0,17.0,1.7,0,0,50,17.416,1.0,1.533,3.0,10.233,3,13.033,1.0,19.227,2.0,1.182,4,15.967,1.0,5.833,67.008,1.0,3.0,2.0,3.0,11.716,2,3,2,5,5,5,5,5,5,5,5,5,1,4.0,8.3,4.0,3.8,4.0,1.0,3.0,1.8,3.0,1.5,3.0,7.4,23.8,0.0,0.0,0.0,24.0,59.214,0.0,4.0,0.0,24.0,109.245,5.5,5.0,5.0,1.0,5.0,5.0,5.0,5.0,1.0,5.0,4.482,3.917,3.35,3.349,3.067,4.566,4.432,3.017,4.765,59.147,11/09/2025 11:42:48,19.231,57.143,85.714,2,16.841615411824307,48.45092961189653,85.3802068911202
6K8O0GZD1VNS,3,1,0.29411764705882,3,4,EEDF7E,10,F5DC47,2,34311E,776700,36CEB5,3648CE,5,8.0,0.0,11.0,31.565,2.0,5.0,12.0,20.499,5.0,0.0,12.0,23.049,15,5,35,75.113,4.0,12.733,3.0,16.682,3,18.416,4.0,17.349,4.0,4.5,4,6.45,4.0,5.999,82.129,1.0,1.0,1.0,1.0,21.049,1,3,2,5,5,3,5,5,5,5,3,2,1,3.0,4.1,4.0,1.0,3.0,1.6,4.0,0.8,4.0,3.8,4.0,2.3,13.6,0.0,0.0,0.0,24.0,69.447,0.0,2.0,0.0,24.0,140.91,5.5,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,3.733,3.916,8.583,6.066,3.899,5.365,5.949,5.983,5.983,70.562,11/09/2025 11:36:58,11.538,23.81,68.571,2,12.221483476757523,23.31636155652397,70.61342088517367
WAKJTTT9MQBH,0,1,0.35294117647059,2,2,EEE497,7,000000,0,FFFFFF,000000,1412EB,070000,0,2.0,1.0,17.0,17.294,1.0,2.0,13.0,11.009,2.0,1.0,15.0,10.199,5,4,45,38.502,2.0,3.733,1.0,10.012,2,5.716,1.0,6.243,2.0,32.323,3,42.825,1.0,3.348,104.2,1.0,1.0,1.0,1.0,54.941,1,4,2,4,1,1,2,3,3,3,3,1,2,1.0,6.451,2.0,9.804,2.0,3.671,2.0,2.996,1.0,14.193,2.0,2.294,39.409,0.0,0.0,0.0,24.0,85.244,0.0,0.0,0.0,24.0,237.793,5.5,1.0,5.0,5.0,5.0,1.0,1.0,1.0,5.0,1.0,3.683,3.65,2.899,3.214,3.684,4.102,4.68,5.798,4.18,59.961,11/09/2025 11:32:18,46.154,57.143,68.571,1,42.20003127241542,54.70732571713664,64.62119761890548
1QEYNUL90SWJ,1,0,0.35294117647059,2,5,FFFFFF,11,FFFFFF,2,FFFFFF,FFFFFF,FFFFFF,FFFFFF,5,6.0,7.0,13.0,39.256,2.0,1.0,12.0,9.133,0.0,3.0,17.0,10.649,8,11,42,59.038,4.0,0.983,1.0,1.933,3,1.734,1.0,12.132,3.0,2.434,1,5.433,3.0,1.407,26.056,1.0,3.0,2.0,3.0,46.882,2,1,2,5,5,5,5,5,5,5,5,3,1,4.0,2.333,4.0,2.715,4.0,1.682,4.0,2.217,4.0,0.116,4.0,0.066,9.129,0.0,0.0,0.0,24.0,118.494,0.0,0.0,0.0,24.0,208.401,5.5,1.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1.0,46.732,33.024,15.532,7.067,4.3,11.267,19.441,6.783,3.966,171.816,11/09/2025 11:32:07,19.231,52.381,85.714,2,23.926430391233932,52.67252051343532,83.75789006429568
9L9UE1GJH892,1,0,0.35294117647059,1,0,FFFFFF,8,FFFFFF,2,FFFFFF,FFFFFF,FFFFFF,FFFFFF,5,19.0,34.0,0.0,63.561,0.0,2.0,14.0,6.641,0.0,0.0,17.0,2.648,19,36,31,72.85,2.0,20.78,2.0,17.716,2,5.092,2.0,20.901,2.0,6.325,2,3.813,2.0,6.68,81.307,1.0,2.0,1.0,3.0,34.762,1,2,2,1,1,1,5,5,1,5,5,1,3,1.0,5.5,1.0,3.7,2.0,2.7,0.0,11.2,1.0,4.6,2.0,3.2,30.9,0.0,1.0,0.0,24.0,91.748,0.0,7.0,0.0,24.0,154.977,5.5,5.0,1.0,1.0,1.0,1.0,5.0,1.0,1.0,5.0,14.889,8.932,17.725,7.945,12.305,13.94,15.009,9.1,9.246,133.076,11/09/2025 11:21:43,26.923,90.476,62.857,1,30.879587632395975,87.40641508802179,63.242503660245895
A1RW3K8WELBF,1,2,0.41176470588235,0,0,FFFFFF,0,FFFFFF,0,FFFFFF,FFFFFF,FFFFFF,FFFFFF,0,1.0,2.0,18.0,29.233,0.0,0.0,14.0,7.465,0.0,0.0,17.0,2.983,1,2,49,39.681,3.0,18.083,4.0,3.184,4,7.382,4.0,56.364,4.0,4.25,2,2.517,1.0,42.764,134.544,1.0,3.0,2.0,1.0,56.049,2,3,2,5,5,1,5,5,5,5,5,5,5,0.0,5.988,4.0,3.744,4.0,1.088,3.0,1.643,4.0,3.244,3.0,3.415,19.122,0.0,0.0,0.0,24.0,60.313,0.0,2.0,0.0,24.0,121.544,5.5,1.0,5.0,1.0,5.0,5.0,1.0,1.0,5.0,5.0,19.565,1.916,1.866,23.199,2.601,1.9,2.117,4.9,1.767,87.43,11/09/2025 11:17:34,15.385,23.81,85.714,2,15.925330342054638,26.693741697926264,82.60507461227756
YXFFE1R96XUN,0,1,0.29411764705882,2,0,F0F0AB,10,FFFFFF,0,FFFFFF,FFFFFF,3154D1,D131CD,5,3.0,0.0,16.0,14.383,3.0,0.0,11.0,9.866,3.0,0.0,14.0,9.216,9,0,41,33.465,-1.0,-1.0,3.0,217.923,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,211.923,10.0,1.0,1.0,1.0,26.015,2,1,2,5,4,5,4,4,5,5,4,5,1,4.0,7.622,4.0,1.65,4.0,2.265,3.0,2.064,3.0,3.763,3.0,7.58,24.944,0.0,0.0,0.0,24.0,105.561,0.0,6.0,0.0,23.0,300.0,10.0,5.0,5.0,-1.0,-1.0,5.0,-1.0,-1.0,-1.0,5.0,49.781,27.498,-1.0,-1.0,28.716,-1.0,-1.0,-1.0,48.464,180.0,11/09/2025 11:16:52,11.538,14.286,74.286,1,14.039358828134501,18.055559425922684,72.76677807025285
3SIQEES5L519,1,0,0.41176470588235,2,3,E5D29D,3,645C86,1,695AA3,B59A51,44423D,AB4848,7,1.0,2.0,18.0,26.449,0.0,3.0,14.0,29.933,1.0,2.0,16.0,27.682,2,7,48,84.064,2.0,11.716,2.0,12.3,2,3.917,2.0,70.88,2.0,6.6,2,9.483,2.0,6.267,121.163,1.0,1.0,1.0,1.0,17.633,1,4,2,3,2,3,3,1,2,3,2,2,3,1.0,5.429,1.0,7.762,2.0,16.539,2.0,4.828,0.0,2.748,1.0,8.63,45.936,0.0,0.0,0.0,24.0,48.163,0.0,3.0,0.0,24.0,85.597,5.5,1.0,1.0,5.0,1.0,1.0,1.0,1.0,5.0,5.0,4.35,5.383,6.167,4.866,4.532,4.55,4.366,8.617,3.384,70.746,11/09/2025 11:15:38,46.7,52.4,40.5,1,46.99061348343996,57.43878482943535,40.80833980089367
MHFGSCZ3AUST,3,1,0.35294117647059,4,4,FFFFFF,10,FFFFFF,2,FFFFFF,FFFFFF,FFFFFF,FFFFFF,0,0.0,3.0,19.0,32.099,3.0,0.0,11.0,12.224,3.0,1.0,14.0,20.0,6,4,44,64.323,2.0,6.425,2.0,15.195,2,5.631,2.0,29.158,3.0,22.173,4,20.926,1.0,7.989,107.497,1.0,2.0,0.0,1.0,25.043,3,1,3,3,4,2,1,2,3,3,3,2,4,1.0,4.8,2.0,3.0,2.0,2.6,0.0,5.6,1.0,9.579,2.0,11.9,37.479,0.0,0.0,0.0,24.0,62.078,0.0,0.0,0.0,24.0,132.973,5.5,5.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.679,11.155,8.553,4.643,16.562,6.011,2.983,25.131,7.235,115.117,11/09/2025 11:11:34,46.154,57.143,51.429,1,47.556442198195114,58.49538623194291,49.52284570158189
T73DEK6YHNUH,3,1,0.41176470588235,0,0,FFFFFF,10,DD6EDC,0,FFFFFF,FFFFFF,831BAC,F092EF,0,2.0,2.0,17.0,55.464,0.0,1.0,14.0,7.85,3.0,0.0,14.0,13.85,5,3,45,77.164,2.0,14.234,1.0,6.599,2,7.283,2.0,22.565,3.0,16.933,2,3.833,1.0,9.083,80.53,1.0,2.0,1.0,1.0,17.349,2,3,3,1,3,1,2,3,2,3,3,1,5,1.0,5.899,0.0,7.049,1.0,4.233,1.0,3.216,2.0,2.464,1.0,2.033,24.894,0.0,0.0,0.0,24.0,78.23,0.0,1.0,0.0,24.0,126.978,5.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.633,5.516,5.716,5.783,5.883,6.117,7.517,8.116,6.9,80.146,11/09/2025 11:05:56,30.769,57.143,68.571,1,33.91488685516242,56.508259002261774,62.078207799800126
8ZZ2NM1K2TAZ,1,0,0.35294117647059,2,3,FFFFFF,5,FFFFFF,2,FFFFFF,FFFFFF,FFFFFF,FFFFFF,0,3.0,3.0,16.0,21.199,3.0,0.0,11.0,6.25,3.0,0.0,14.0,6.35,9,3,41,33.799,4.0,6.149,3.0,8.367,4,5.166,3.0,18.898,4.0,2.734,4,9.3,3.0,5.316,55.93,1.0,1.0,2.0,1.0,18.616,2,2,2,4,5,4,5,5,5,5,4,5,2,4.0,23.933,4.0,11.033,3.0,6.266,3.0,5.266,4.0,5.816,3.0,7.567,59.881,0.0,0.0,0.0,24.0,45.632,0.0,1.0,0.0,24.0,99.205,5.5,5.0,5.0,5.0,5.0,5.0,5.0,1.0,5.0,5.0,4.333,3.901,4.734,5.199,3.967,3.75,9.516,9.917,4.934,71.696,11/09/2025 11:00:54,19.231,80.952,54.286,2,21.245450502525664,70.09086149078814,55.39972389392768
JSL2R9Z9BJ62,2,1,0.29411764705882,1,0,EBC882,13,392600,0,FFFFFF,FFFFFF,222222,FE79FE,5,1.0,2.0,18.0,22.632,0.0,2.0,14.0,16.266,0.0,1.0,17.0,4.667,1,5,49,43.565,3.0,4.283,4.0,27.548,3,172.125,-1.0,-1.0,-1.0,-1.0,4,55.815,2.0,6.649,264.42,0.0,2.0,1.0,3.0,29.864,2,3,2,3,4,3,5,4,4,3,4,4,1,3.0,6.8,4.0,4.0,2.0,9.1,3.0,3.1,4.0,3.6,3.0,1.9,28.5,0.0,0.0,0.0,24.0,84.429,0.0,0.0,0.0,24.0,149.077,5.5,5.0,5.0,5.0,1.0,5.0,1.0,5.0,5.0,5.0,8.182,6.516,5.915,11.066,12.533,16.8,5.766,15.749,6.617,118.644,11/09/2025 10:59:46,3.846,28.571,88.571,2,6.106495445440445,30.10487284759511,84.06429002990699
X6VXOXPOAZ3G,3,1,0.29411764705882,1,2,FFFFFF,3,FFFFFF,2,FFFFFF,FFFFFF,FFFFFF,FFFFFF,0,2.0,4.0,17.0,74.438,0.0,4.0,14.0,38.749,1.0,1.0,16.0,12.366,3,9,47,125.553,1.0,7.065,1.0,23.117,3,8.716,2.0,28.283,2.0,4.649,3,8.483,1.0,6.483,86.796,1.0,0.0,0.0,1.0,16.483,1,4,2,3,1,3,2,2,2,3,2,3,4,0.0,7.981,1.0,1.315,1.0,3.711,1.0,6.631,1.0,4.016,2.0,6.98,30.634,0.0,0.0,0.0,24.0,247.939,0.0,8.0,0.0,8.0,300.0,12.0,1.0,5.0,5.0,1.0,5.0,1.0,1.0,1.0,1.0,9.85,7.2,6.836,6.733,8.199,9.3,11.468,3.9,5.917,115.794,11/09/2025 10:52:48,53.846,61.905,48.571,1,58.26988331431472,65.67574655772775,46.84373872470305
CCBR2QIEWXTT,1,1,0.29411764705882,2,0,FFFFFF,10,3C1301,1,FFFFFF,020304,074588,F00CE9,0,7.0,8.0,12.0,82.23,1.0,11.0,13.0,44.165,4.0,4.0,13.0,0.0,12,23,38,126.395,4.0,10.782,4.0,20.399,4,18.166,4.0,6.717,4.0,14.566,4,13.599,-1.0,-1.0,83.229,0.0,2.0,2.0,2.0,39.598,2,3,2,5,5,5,5,5,5,5,5,5,1,4.0,8.4,4.0,6.3,4.0,4.2,4.0,5.4,4.0,21.3,4.0,3.8,49.4,0.0,0.0,0.0,24.0,76.679,0.0,2.0,0.0,24.0,140.461,5.5,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.916,4.882,8.849,5.416,8.881,6.55,5.866,6.049,6.25,79.877,11/09/2025 10:52:34,0.0,4.762,85.714,2,1.3011125497381502,3.5841931197441177,87.57613933154721
HI64ZQCA4U7L,3,1,0.29411764705882,3,4,FFFFFF,10,FFFFFF,2,FFFFFF,FFFFFF,FFFFFF,FFFFFF,5,3.0,0.0,16.0,15.466,3.0,0.0,11.0,9.367,3.0,0.0,14.0,12.282,9,0,41,37.115,4.0,18.633,4.0,22.066,4,9.05,4.0,8.999,3.0,22.083,4,1.533,4.0,7.349,89.713,1.0,2.0,1.0,3.0,36.58,2,3,2,5,5,5,5,5,5,5,5,5,1,3.0,7.1,4.0,6.032,2.0,6.5,4.0,5.6,3.0,7.0,3.0,9.0,41.232,0.0,0.0,0.0,24.0,62.481,0.0,8.0,0.0,24.0,187.591,5.5,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.4,3.183,8.366,5.432,4.184,5.016,6.384,6.482,5.833,76.514,11/09/2025 10:50:41,11.538,9.524,85.714,2,10.715320232848216,10.02174143870819,83.99758082641132
WKHRFIXANWM7,3,3,0.41176470588235,0,3,FFFFFF,5,FFFFFF,1,FFFFFF,FFFFFF,FFFFFF,FFFFFF,5,0.0,0.0,19.0,15.699,0.0,1.0,14.0,18.232,0.0,2.0,17.0,6.683,0,3,50,40.614,4.0,29.466,3.0,54.78,3,12.233,4.0,66.297,3.0,32.215,4,23.199,3.0,19.565,237.755,1.0,2.0,1.0,1.0,50.498,2,3,2,5,5,5,5,5,5,5,5,5,1,4.0,8.949,4.0,3.182,4.0,0.867,3.0,9.166,4.0,2.167,4.0,1.933,26.264,0.0,5.0,0.0,24.0,150.108,0.0,21.0,0.0,0.0,300.0,10.0,5.0,5.0,5.0,5.0,5.0,5.0,1.0,5.0,5.0,5.9085,6.061,8.1915,6.4415,7.084,7.4,7.439,8.031500000000001,6.384,93.37950000000001,05/09/2025 12:16:10,0.0,28.6,95.2,2,4.499889357991988,27.14186617389343,91.72596546851662
Q9GH4MS56JTH,5,1,0.35294117647059,1,0,FDEAED,10,FFFFFF,1,FFFFFF,EBA3EE,CB5DD0,E719F0,0,3.0,1.0,16.0,15.199,2.0,1.0,12.0,11.882,2.0,1.0,15.0,17.933,7,3,43,45.014,4.0,2.949,2.0,3.617,4,1.65,3.0,6.916,4.0,10.216,4,12.282,4.0,31.748,69.378,1.0,2.0,1.0,2.0,36.765,2,3,2,4,1,1,5,5,5,5,5,2,1,4.0,6.266,3.0,6.565,4.0,2.649,3.0,1.034,3.0,1.151,4.0,1.766,19.431,0.0,0.0,0.0,24.0,69.447,0.0,2.0,0.0,24.0,140.91,5.5,5.0,1.0,5.0,1.0,5.0,1.0,5.0,5.0,1.0,7.317,12.232,10.266,9.583,9.032,13.933,11.183,27.481,6.384,134.823,05/09/2025 12:16:00,23.3,9.5,78.6,2,22.09810016786169,13.621552396276995,77.58493047631106
B0CUE7TLVWFB,3,1,0.41176470588235,3,4,FFDD94,3,5B3E00,1,FFFFFF,000000,467174,746646,2,12.0,15.0,7.0,59.115,4.0,3.0,10.0,25.467,0.0,0.0,17.0,1.4,16,18,34,85.982,2.0,12.882,3.0,22.967,1,7.234,4.0,6.516,3.0,18.066,4,6.849,1.0,8.868,83.382,1.0,3.0,2.0,3.0,27.515,2,1,2,5,2,3,2,3,5,4,4,3,1,3.0,6.6,4.0,2.8,3.0,4.4,2.0,8.4,3.0,6.1,2.0,7.7,36.0,0.0,2.0,0.0,24.0,53.532,0.0,4.0,0.0,24.0,201.443,5.5,5.0,5.0,5.0,5.0,1.0,1.0,1.0,5.0,5.0,11.033,5.117,6.65,7.733,6.099,8.683,8.8,5.95,6.498,93.647,05/09/2025 12:11:59,26.923,76.19,77.143,2,29.71209776251862,71.13632129845038,75.20326300616084
AXB8ABFO9R4A,4,0,0.41176470588235,3,4,FFFFFF,11,FFFFFF,2,FFFFFF,FFFFFF,FFFFFF,FFFFFF,1,2.0,2.0,17.0,23.882,1.0,2.0,13.0,15.416,3.0,0.0,14.0,14.099,6,4,44,53.397,4.0,0.9,2.0,10.367,4,2.816,4.0,17.882,4.0,12.249,2,3.583,4.0,4.784,52.581,1.0,1.0,1.0,3.0,19.3,1,3,2,5,5,4,5,5,5,5,5,5,1,4.0,17.809,4.0,3.647,4.0,1.699,4.0,5.646,4.0,4.159,4.0,1.079,34.039,0.0,2.0,0.0,24.0,185.061,0.0,5.0,0.0,24.0,255.186,5.5,1.0,5.0,1.0,5.0,5.0,5.0,5.0,5.0,5.0,1.733,3.783,8.267,6.049,2.8,6.399,5.499,8.866,4.949,70.996,05/09/2025 12:11:55,6.7,47.6,85.7,2,6.672204268769185,43.194987004839156,82.66362763085705
E9HHDM587MYT,1,0,0.41176470588235,2,3,FFFFFF,14,FFFFFF,2,FFFFFF,FFFFFF,FFFFFF,FFFFFF,6,1.0,0.0,18.0,14.832,1.0,0.0,13.0,3.667,1.0,0.0,16.0,3.8,3,0,47,22.299,3.0,4.883,2.0,5.75,3,2.75,4.0,8.25,3.0,7.649,3,5.9,4.0,14.082,49.264,1.0,2.0,0.0,1.0,10.349,1,1,3,4,2,5,3,3,5,3,3,5,3,2.0,3.532,2.0,3.498,2.0,1.615,3.0,1.547,1.0,4.497,3.0,5.632,20.321,0.0,0.0,0.0,24.0,68.456,0.0,11.0,0.0,24.0,142.592,5.5,5.0,5.0,1.0,5.0,1.0,5.0,1.0,5.0,5.0,3.467,3.417,5.6,8.066,3.666,3.217,3.4,4.466,3.167,58.664,05/09/2025 12:07:38,30.769,33.333,51.429,2,29.611960762968693,32.147872256731226,53.755595047747256
P8RJRSFO03YB,4,1,0.41176470588235,2,2,FFFFFF,6,FFFFFF,2,FFFFFF,FFFFFF,FFFFFF,FFFFFF,0,3.0,0.0,16.0,12.933,3.0,0.0,11.0,14.066,2.0,1.0,15.0,14.398,8,1,42,41.397,4.0,11.915,1.0,38.764,2,30.148,2.0,19.799,1.0,10.9,2,15.933,1.0,21.232,148.691,1.0,2.0,1.0,2.0,34.465,1,1,2,2,1,3,5,3,1,4,3,1,3,3.0,12.483,2.0,5.333,1.0,7.499,1.0,35.096,2.0,7.349,2.0,7.349,75.109,0.0,1.0,0.0,24.0,59.563,0.0,0.0,0.0,24.0,110.827,5.5,5.0,5.0,1.0,1.0,5.0,5.0,1.0,5.0,1.0,8.716,53.713,18.281,6.816,9.416,14.216,15.148,9.683,10.515,173.406,05/09/2025 12:06:33,61.538,80.952,17.143,1,57.63969585219046,77.12878025324105,25.519881508867694
SYZ34BO5B1CS,3,1,0.35294117647059,4,3,E8D393,10,FFFFFF,2,FFFFFF,FFFFFF,FFFFFF,FFFFFF,5,19.0,27.0,0.0,103.349,5.0,3.0,9.0,12.199,2.0,0.0,15.0,4.0,26,30,24,119.548,4.0,0.951,2.0,2.816,1,10.9,4.0,3.083,4.0,1.85,2,6.568,2.0,21.615,47.783,1.0,1.0,0.0,1.0,35.784,1,3,2,3,5,3,5,3,2,3,4,1,3,1.0,6.3,2.0,2.6,1.0,1.3,2.0,1.9,2.0,1.4,1.0,4.5,18.0,0.0,0.0,0.0,24.0,69.447,0.0,2.0,0.0,24.0,140.91,5.5,1.0,5.0,5.0,1.0,1.0,5.0,1.0,5.0,5.0,9.683,5.432,4.666,4.467,3.666,4.8,10.801,4.95,12.166,85.147,05/09/2025 11:53:35,46.7,71.4,71.4,0,43.82853873634944,67.57722037699884,68.53101060441269
