Código de Acesso,F0101,F0102,F0103,F0104,F0201,Cor0202,F0203,Cor0204,F0205,Cor0206,F0207,Cor0208,Cor0209Outro,L0210 (não likert),Q0401,Q0402,Q0403,T0404,Q0405,Q0406,Q0407,T0408,Q0409,Q0410,Q0411,T0412,Q0413,Q0414,Q0415,T0498,P01,T01,P02,T02,P03,T03,P05,T05,P09,T09,P12,T12,P15,T15,PTempoTotal,PTempoTotalExpl,QtdComida,QtdPessoas,QtdSom,GameTempoTotal,QtdDormir,QtdHorasDormi,QtdHorasSono,Acordar,F0705,F0706,F0707,F0708,F0709,F0710,F0711,F0712,F0713,F1101,F1102,F1103,F1104,F1105,Tempo1106,F1107,Tempo1108,F1109,Tempo1110,F1111,Tempo1112,TempoTotal11,T1199Expl,Q1201,Q1202,Q1203,T1204,T1205Expl,Q1206,Q1207,Q1208,Q1209,T1210Expl,P04,P08,P10,P12.1,P02.1,P03.1,P07,P09.1,P13,T04,T08,T10,T12.1,T02.1,T03.1,T07,T09.1,T13,TempoTotal,Data/Hora Último,Target1,Target2,Target3,cluster,Target1_Previsto,Target2_Previsto,Target3_Previsto
ZK2HP2Q1FWUT,4,1,0.58823529411765,6,8,FFFFFF,13,FFFFFF,2,FFFFFF,FFFFFF,FFFFFF,FFFFFF,2,17.0,1.0,2.0,49.463,13.0,2.0,1.0,43.165,9.0,1.0,8.0,28.9,39,4,11,121.528,2.0,12.35,3.0,19.032,4,7.0,1.0,8.516,2.0,6.983,4,10.299,2.0,12.783,76.963,1.0,2.0,1.0,3.0,29.015,2,3,3,1,1,1,1,5,1,5,1,1,3,0.0,3.5,3.0,7.8,1.0,1.5,1.0,11.4,2.0,7.3,2.0,4.6,36.1,0.0,1.0,0.0,24.0,69.547,0.0,12.0,0.0,24.0,200.79,5.5,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.215,3.868,8.566,9.083,5.483,5.383,11.616,11.567,5.217,92.512,12/09/2025 11:21:18,61.538,71.429,91.429,1,63.60052553426372,75.21517610929064,81.77428948912315
XU4DM426AR0G,4,0,0.47058823529412,3,2,FFFFFF,2,FFFFFF,2,FFFFFF,FFFFFF,FFFFFF,FFFFFF,5,3.0,0.0,16.0,12.033,3.0,0.0,11.0,8.0,1.0,2.0,16.0,6.649,7,2,43,26.682,4.0,20.916,4.0,13.45,4,1.932,3.0,53.281,4.0,14.799,4,11.017,1.0,24.516,139.911,1.0,2.0,1.0,1.0,25.699,2,3,1,5,5,5,5,5,5,5,5,5,1,4.0,3.682,4.0,5.0,4.0,3.114,3.0,5.394,4.0,1.632,3.0,1.499,20.321,0.0,1.0,0.0,24.0,49.115,0.0,4.0,0.0,24.0,118.511,5.5,5.0,5.0,1.0,5.0,5.0,5.0,5.0,5.0,5.0,2.867,10.666,13.5,5.217,6.25,7.399,9.549,4.416,8.833,97.061,12/09/2025 11:14:01,23.077,19.048,60.0,2,23.5768201688416,19.49209298128003,61.474907328415355
CK67CCD9KKZJ,3,0,0.35294117647059,0,0,FFFFFF,0,FFFFFF,0,FFFFFF,FFFFFF,FFFFFF,FFFFFF,0,3.0,0.0,16.0,16.399,0.0,0.0,14.0,2.533,0.0,0.0,17.0,3.199,3,0,47,22.131,2.0,2.583,3.0,2.617,4,8.3,1.0,9.149,4.0,9.2,3,13.366,4.0,6.083,51.298,1.0,2.0,1.0,1.0,32.75,1,3,2,5,5,5,5,5,5,5,5,5,1,4.0,5.4,4.0,1.8,4.0,2.3,3.0,1.0,4.0,3.0,4.0,4.5,18.0,0.0,1.0,0.0,24.0,64.364,0.0,3.0,0.0,24.0,124.244,5.5,5.0,5.0,5.0,1.0,5.0,5.0,5.0,5.0,5.0,4.501,7.066,5.299,7.6,4.616,9.15,5.633,5.55,5.999,86.896,12/09/2025 10:53:15,11.538,4.762,57.143,2,11.281470242352352,4.6886902918766715,62.6807095315168
LN0OHX118GS8,1,0,0.47058823529412,2,3,FFC6A1,8,5B5B5B,2,FFFFFF,4C4C4C,242424,212121,0,6.0,15.0,13.0,25.483,5.0,14.0,9.0,20.899,5.0,11.0,12.0,25.632,16,40,34,72.014,3.0,7.984,1.0,8.849,2,6.817,4.0,23.915,1.0,16.583,4,11.134,4.0,5.065,80.347,1.0,2.0,1.0,2.0,22.044,1,1,2,3,4,4,4,3,5,4,1,2,3,1.0,3.6,1.0,2.4,1.0,17.4,3.0,5.0,2.0,6.3,3.0,6.9,41.6,0.0,1.0,0.0,24.0,70.964,0.0,2.0,0.0,24.0,119.628,5.5,5.0,5.0,1.0,1.0,5.0,5.0,1.0,5.0,1.0,5.832,8.015,6.449,9.716,8.216,8.933,24.683,6.366,9.7,112.462,12/09/2025 10:40:09,30.769,80.952,68.571,0,33.67426274551922,76.55276933585465,59.51932454423337
SL238SLJOF09,1,0,0.29411764705882,2,3,FFFFFF,8,FFFFFF,2,0044FF,907300,000000,00FFF2,2,3.0,0.0,16.0,21.716,3.0,0.0,11.0,14.399,3.0,0.0,14.0,17.518,9,0,41,53.633,4.0,3.649,3.0,14.682,4,15.135,4.0,15.333,4.0,4.95,3,6.6,3.0,27.101,87.45,1.0,2.0,2.0,3.0,23.749,2,3,2,5,5,5,5,5,5,5,5,5,1,4.0,5.4,4.0,1.9,4.0,6.1,4.0,18.5,4.0,3.5,4.0,3.7,39.1,0.0,1.0,0.0,24.0,86.832,0.0,4.0,0.0,24.0,231.745,5.5,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.833,6.668,35.315,4.883,9.432,10.033,7.067,12.783,7.015,130.713,12/09/2025 10:39:13,0.0,0.0,85.714,2,0.7467947692355671,4.448336540670178,83.55842265375856
WJ2MU06OBKPO,3,0,0.41176470588235,2,2,B08A66,5,34141E,2,A00031,1F2449,8B1620,3E3B3B,0,4.0,3.0,15.0,49.281,2.0,1.0,12.0,15.116,0.0,0.0,17.0,4.233,6,4,44,68.63,2.0,8.183,1.0,31.081,4,30.032,1.0,24.282,1.0,10.266,2,21.333,3.0,30.782,155.959,1.0,2.0,1.0,2.0,28.232,1,3,2,3,3,2,4,4,3,2,4,2,1,1.0,21.542,4.0,8.016,2.0,4.148,0.0,17.775,2.0,9.064,3.0,9.163,69.708,0.0,1.0,0.0,24.0,97.013,0.0,4.0,0.0,24.0,264.004,5.5,5.0,5.0,5.0,1.0,1.0,1.0,5.0,5.0,1.0,5.866,8.266,10.233,7.967,6.717,10.849,14.515,21.732,17.699,131.31,12/09/2025 10:35:35,34.615,100.0,54.286,1,35.47899098725463,92.35251355483871,53.021632692384195
9IGDF7ZDLII5,1,1,0.47058823529412,1,0,FFFFFF,10,FFFFFF,2,FFFFFF,FFFFFF,FFFFFF,FFFFFF,2,7.0,1.0,12.0,41.149,0.0,6.0,14.0,55.63,2.0,0.0,15.0,13.749,9,7,41,110.528,2.0,4.133,1.0,10.15,1,36.907,2.0,17.882,1.0,21.382,1,6.133,2.0,6.017,102.604,1.0,1.0,1.0,0.0,17.715,1,2,1,1,1,1,1,1,1,1,1,1,3,0.0,2.7,1.0,3.9,1.0,0.6,1.0,0.5,1.0,0.4,1.0,0.8,8.9,0.0,2.0,0.0,24.0,124.894,0.0,2.0,0.0,24.0,177.508,5.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.101,4.816,4.45,4.749,6.065,4.334,3.982,6.483,6.033,69.362,12/09/2025 10:30:05,92.308,90.476,0.0,1,83.89704957088935,86.26466036481905,13.050922398197702
97TP7GJA3HGF,3,0,0.47058823529412,2,5,FFFFFF,5,FFFFFF,2,FFFFFF,FFFFFF,FFFFFF,FFFFFF,5,0.0,4.0,19.0,57.048,0.0,0.0,14.0,2.6,0.0,0.0,17.0,1.783,0,4,50,61.431,3.0,0.5,1.0,3.833,2,1.484,4.0,11.032,3.0,8.783,4,8.633,1.0,3.6,37.865,1.0,3.0,0.0,2.0,18.983,2,4,1,5,5,5,5,5,5,1,5,5,1,4.0,10.113,4.0,5.982,4.0,2.228,1.0,2.632,2.0,2.449,4.0,1.249,24.653,0.0,4.0,0.0,24.0,75.613,0.0,21.0,0.0,24.0,142.693,5.5,1.0,5.0,1.0,1.0,1.0,1.0,5.0,5.0,5.0,9.566,2.568,5.901,8.516,2.566,5.649,10.133,7.765,3.133,78.462,12/09/2025 10:25:36,34.615,76.19,68.571,2,35.14004303377621,74.45950221848351,68.84038378911714
EN3ALMKV2XAH,1,0,0.47058823529412,0,0,FFFFFF,0,FFFFFF,0,FFFFFF,FFFFFF,FFFFFF,FFFFFF,0,0.0,0.0,19.0,5.817,0.0,0.0,14.0,3.25,0.0,0.0,17.0,2.333,0,0,50,11.4,4.0,3.434,2.0,8.033,4,6.566,1.0,164.321,4.0,7.25,2,4.016,3.0,4.817,198.437,1.0,2.0,2.0,3.0,26.981,2,3,1,5,5,5,5,5,5,5,5,5,1,2.0,3.0,4.0,1.6,4.0,1.9,3.0,1.6,4.0,2.6,4.0,1.6,12.3,0.0,3.0,0.0,24.0,177.47,0.0,9.0,0.0,24.0,297.723,5.5,1.0,5.0,5.0,1.0,5.0,5.0,5.0,1.0,5.0,9.083,2.841,2.232,2.482,1.484,2.948,3.633,6.333,3.283,60.938,12/09/2025 10:20:06,11.538,23.81,100.0,2,12.078181854860315,21.6360193255718,96.59272339248463
YZ9PZX2D9B6T,1,1,0.47058823529412,2,0,F5D588,10,612119,1,FFFFFF,5B382B,383F76,FF5EBF,2,19.0,4.0,0.0,62.347,12.0,0.0,2.0,55.147,14.0,0.0,3.0,0.0,45,4,5,117.494,4.0,10.949,1.0,10.766,1,4.45,1.0,10.516,1.0,4.384,4,3.366,1.0,4.433,48.864,1.0,1.0,1.0,2.0,14.716,2,1,3,3,5,4,5,4,5,5,5,5,5,1.0,3.094,4.0,7.161,0.0,3.495,4.0,7.943,1.0,7.861,4.0,3.494,33.048,0.0,0.0,0.0,24.0,38.701,0.0,0.0,0.0,24.0,55.199,5.5,1.0,1.0,5.0,1.0,1.0,1.0,1.0,5.0,5.0,3.167,4.55,9.566,6.017,3.283,5.333,3.7,5.0,3.267,64.495,11/09/2025 12:15:50,65.385,80.952,48.571,0,63.017030960564774,73.80541532479631,51.62479455804786
